Date,Precip,LST,NDVI
1/1/03,0,40.882,0.4789
1/11/03,0,42.1725,0.4103
1/21/03,0,46.1791,0.3518
2/1/03,0,47.1799,0.3125
2/11/03,0.0967,46.477,0.2904
2/21/03,0.2836,46.6659,0.2806
3/1/03,1.3178,48.613,0.2793
3/11/03,1.7675,44.6605,0.2775
3/21/03,7.1614,43.8579,0.2816
4/1/03,4.9445,45.9705,0.3117
4/11/03,119.0194,44.643,0.3824
4/21/03,63.8763,37.2894,0.48
5/1/03,19.4753,33.0464,0.5653
5/11/03,11.3952,34.787,0.5961
5/21/03,38.5273,33.1288,0.5881
6/1/03,9.9767,34.4436,0.5476
6/11/03,4.6056,30.5062,0.4967
6/21/03,5.5139,35.5748,0.4499
7/1/03,7.1634,36.6536,0.4105
7/11/03,7.7626,29.6103,0.3765
7/21/03,8.7775,34.6589,0.3469
8/1/03,4.7344,35.108,0.3247
8/11/03,4.0001,39.7305,0.3162
8/21/03,4.1568,39.6563,0.3182
9/1/03,2.1541,40.6737,0.321
9/11/03,2.249,43.5518,0.3146
9/21/03,2.9869,41.3775,0.3022
10/1/03,8.191,43.024,0.2994
10/11/03,12.135,41.2968,0.3176
10/21/03,16.4168,39.4231,0.363
11/1/03,21.0156,37.4077,0.432
11/11/03,18.0213,34.3485,0.5042
11/21/03,36.9528,33.4159,0.5601
12/1/03,37.1565,33.0374,0.5888
12/11/03,1.9091,37.5576,0.5846
12/21/03,2.5966,40.2156,0.5417
1/1/04,0.1934,42.2816,0.4809
1/11/04,0.01,42.3075,0.4205
1/21/04,0.117,44.3652,0.3708
2/1/04,0,44.2732,0.3321
2/11/04,0,46.8251,0.3014
2/21/04,0.3169,46.7035,0.2771
3/1/04,2.0464,47.0422,0.2604
3/11/04,2.1066,46.3556,0.2635
3/21/04,7.1274,47.849,0.2891
4/1/04,51.8073,40.525,0.3387
4/11/04,48.2992,40.2423,0.4141
4/21/04,31.8107,38.4307,0.4888
5/1/04,16.3792,34.5809,0.5304
5/11/04,5.6717,34.7936,0.5339
5/21/04,10.0476,36.9275,0.5076
6/1/04,6.0017,35.4415,0.458
6/11/04,4.2312,33.3953,0.4174
6/21/04,9.0771,31.1286,0.4081
7/1/04,6.3531,28.9,0.4269
7/11/04,7.5618,33.1035,0.4439
7/21/04,9.4415,33.2083,0.4389
8/1/04,5.1023,31.4879,0.4087
8/11/04,4.1092,36.2889,0.3769
8/21/04,4.1387,37.766,0.3429
9/1/04,2.1363,40.7217,0.3252
9/11/04,2.3502,40.2602,0.3105
9/21/04,3.2315,44.6665,0.3111
10/1/04,13.6477,40.7067,0.3395
10/11/04,57.4329,38.2362,0.4174
10/21/04,112.1714,31.1901,0.5306
11/1/04,30.7503,28.5643,0.6442
11/11/04,39.2146,27.4842,0.6984
11/21/04,34.5813,28.5233,0.7101
12/1/04,1.4318,30.1541,0.6964
12/11/04,0.7777,33.9882,0.6566
12/21/04,1.1299,37.2573,0.5989
1/1/05,0.0329,39.2517,0.5388
1/11/05,0,39.6785,0.4851
1/21/05,0.0213,41.5973,0.4363
2/1/05,0,43.4754,0.3916
2/11/05,0,45.1582,0.3536
2/21/05,0.2107,47.1843,0.3272
3/1/05,2.5941,45.9571,0.3123
3/11/05,2.7561,43.8139,0.3082
3/21/05,5.2477,47.7823,0.3138
4/1/05,11.7965,44.799,0.3299
4/11/05,32.6325,41.1365,0.3615
4/21/05,53.5856,41.2657,0.4125
5/1/05,21.7288,36.9757,0.4674
5/11/05,9.9301,38.2979,0.509
5/21/05,82.8467,34.1708,0.5236
6/1/05,6.3817,34.9237,0.5101
6/11/05,4.0847,34.6421,0.4692
6/21/05,4.1314,33.401,0.4264
7/1/05,6.4295,34.7733,0.3947
7/11/05,7.5506,31.5475,0.3727
7/21/05,8.855,34.2248,0.357
8/1/05,4.6919,36.0133,0.3433
8/11/05,4.1925,39.0122,0.3292
8/21/05,4.1848,40.1362,0.3177
9/1/05,2.1164,40.1651,0.3054
9/11/05,2.1862,42.5732,0.2904
9/21/05,3.0404,42.7174,0.284
10/1/05,6.8762,42.3474,0.3073
10/11/05,15.1435,37.2877,0.3774
10/21/05,10.073,36.2169,0.4709
11/1/05,15.511,35.1608,0.539
11/11/05,5.9841,35.1484,0.5554
11/21/05,9.4772,38.2559,0.534
12/1/05,1.1323,40.0889,0.4765
12/11/05,0.5905,43.0452,0.4149
12/21/05,0.9513,44.9071,0.3622
1/1/06,0,44.2159,0.3251
1/11/06,0.0359,44.5406,0.3038
1/21/06,0,46.8323,0.2913
2/1/06,0,45.1444,0.2795
2/11/06,0,48.0657,0.2719
2/21/06,0.306,47.6158,0.2692
3/1/06,2.1302,45.3019,0.2703
3/11/06,2.8922,45.8805,0.2791
3/21/06,10.7655,45.9937,0.3019
4/1/06,57.1358,40.2914,0.3513
4/11/06,50.8747,41.8429,0.436
4/21/06,52.5591,33.7809,0.5271
5/1/06,14.1905,35.2053,0.5792
5/11/06,36.3761,33.347,0.5871
5/21/06,11.1651,36.4045,0.572
6/1/06,6.5679,32.9016,0.5241
6/11/06,4.9351,35.7391,0.4561
6/21/06,4.0992,34.2501,0.3798
7/1/06,6.3343,32.1788,0.3244
7/11/06,7.546,35.8363,0.2975
7/21/06,8.8438,37.9199,0.2954
8/1/06,4.6886,41.726,0.3016
8/11/06,3.9603,38.6215,0.3076
8/21/06,6.3147,38.6947,0.3205
9/1/06,2.5005,34.6341,0.3492
9/11/06,2.249,36.6521,0.3856
9/21/06,6.9899,39.1557,0.4157
10/1/06,12.874,37.5725,0.4417
10/11/06,78.8616,36.3995,0.4906
10/21/06,179.3828,29.946,0.5689
11/1/06,34.6445,30.0235,0.6555
11/11/06,58.134,27.8716,0.708
11/21/06,27.4172,30.28,0.7228
12/1/06,18.5368,30.3264,0.7162
12/11/06,4.0688,31.7769,0.6891
12/21/06,2.1345,36.1403,0.6412
1/1/07,0.0218,38.5258,0.5757
1/11/07,0,39.9002,0.5101
1/21/07,0.004,41.5851,0.4471
2/1/07,0,44.5103,0.3929
2/11/07,0,45.1345,0.3521
2/21/07,0.758,47.2222,0.3247
3/1/07,5.4381,44.9956,0.3128
3/11/07,3.6087,45.6342,0.3168
3/21/07,8.779,42.9233,0.3384
4/1/07,4.8907,42.8151,0.3855
4/11/07,73.0405,37.6824,0.469
4/21/07,20.822,36.4064,0.5614
5/1/07,40.1079,33.2153,0.6232
5/11/07,10.3109,33.2563,0.631
5/21/07,11.0129,35.9333,0.6063
6/1/07,16.4343,33.4978,0.5475
6/11/07,7.2365,37.4965,0.4881
6/21/07,4.212,33.1469,0.4354
7/1/07,8.3632,34.3118,0.4052
7/11/07,9.1879,36.2381,0.3862
7/21/07,8.837,39.0385,0.3695
8/1/07,5.065,37.4665,0.347
8/11/07,4.4579,38.1363,0.3293
8/21/07,4.6351,41.5769,0.3155
9/1/07,3.2211,39.754,0.3081
9/11/07,2.1997,39.4949,0.3111
9/21/07,6.0988,41.0148,0.3414
10/1/07,57.3315,37.8195,0.407
10/11/07,30.9831,35.1774,0.4985
10/21/07,76.7512,32.2235,0.5827
11/1/07,26.0127,30.877,0.6316
11/11/07,28.0378,31.3951,0.6435
11/21/07,11.132,34.8971,0.6165
12/1/07,1.4855,36.9315,0.5611
12/11/07,1.6944,41.9925,0.4889
12/21/07,0.9417,41.317,0.4209
1/1/08,0,44.6005,0.3722
1/11/08,0.2567,42.0582,0.3401
1/21/08,0.1012,46.0948,0.3182
2/1/08,0,43.6066,0.3011
2/11/08,0.026,44.9161,0.2837
2/21/08,0.3476,47.3089,0.2702
3/1/08,1.5374,45.4253,0.2646
3/11/08,1.9686,46.9924,0.2666
3/21/08,5.3218,44.9042,0.2804
4/1/08,3.4751,45.4448,0.3188
4/11/08,58.6387,40.243,0.3828
4/21/08,11.3715,38.2251,0.4528
5/1/08,17.5619,38.1059,0.4947
5/11/08,10.1561,37.1543,0.5099
5/21/08,45.3023,33.5818,0.5008
6/1/08,12.5673,32.6002,0.4795
6/11/08,9.7651,29.9917,0.4461
6/21/08,5.9196,32.0356,0.4137
7/1/08,6.4382,34.5754,0.367
7/11/08,13.3579,33.2418,0.3182
7/21/08,8.8645,35.6305,0.2825
8/1/08,4.9842,36.6583,0.2683
8/11/08,4.492,36.6765,0.2847
8/21/08,4.2513,39.1515,0.3149
9/1/08,5.0017,41.7321,0.3427
9/11/08,2.4152,41.3609,0.3627
9/21/08,3.9587,40.4567,0.3926
10/1/08,54.7192,36.5105,0.4506
10/11/08,38.9585,33.4758,0.5197
10/21/08,11.8146,35.813,0.5656
11/1/08,28.8567,33.7608,0.5808
11/11/08,5.2664,39.5101,0.5641
11/21/08,6.0967,40.4535,0.5094
12/1/08,0.8603,41.7697,0.443
12/11/08,0.63,44.4775,0.377
12/21/08,1.0734,42.7219,0.3317
1/1/09,0,45.5819,0.3049
1/11/09,0.0412,44.2172,0.2919
1/21/09,0.0008,46.4304,0.2831
2/1/09,0,47.1874,0.2779
2/11/09,0,45.3239,0.2752
2/21/09,2.6748,46.5034,0.2744
3/1/09,1.5458,47.5198,0.2774
3/11/09,1.521,46.961,0.2839
3/21/09,7.2253,44.9529,0.2972
4/1/09,26.878,42.8533,0.3271
4/11/09,36.7791,41.3463,0.3832
4/21/09,26.815,34.8052,0.4571
5/1/09,25.543,36.8461,0.5202
5/11/09,48.733,32.8506,0.5481
5/21/09,16.9994,35.2735,0.5426
6/1/09,8.4573,36.3031,0.5134
6/11/09,4.4116,33.2336,0.4733
6/21/09,4.2767,34.085,0.4313
7/1/09,6.5292,37.7571,0.3965
7/11/09,8.2322,35.7001,0.3693
7/21/09,8.8321,34.289,0.348
8/1/09,4.7131,35.3985,0.3313
8/11/09,3.9652,38.9382,0.3178
8/21/09,4.1506,39.9723,0.3066
9/1/09,2.1602,39.8255,0.2978
9/11/09,2.2307,42.056,0.2895
9/21/09,3.3243,43.0289,0.295
10/1/09,8.4099,42.5423,0.3381
10/11/09,102.8329,38.4271,0.4296
10/21/09,119.8844,31.2915,0.545
11/1/09,22.4836,31.6783,0.6267
11/11/09,4.0684,34.1166,0.6466
11/21/09,9.0254,34.3414,0.6391
12/1/09,11.1598,36.6235,0.6087
12/11/09,1.0586,38.182,0.5547
12/21/09,1.1846,40.3415,0.4888
1/1/10,0,42.3823,0.4251
1/11/10,0,42.3826,0.3699
1/21/10,0,44.055,0.3259
2/1/10,0,46.6049,0.2981
2/11/10,0,46.2659,0.2832
2/21/10,2.4713,46.3343,0.2856
3/1/10,11.4333,43.0889,0.3123
3/11/10,20.1171,45.1363,0.3626
3/21/10,51.3757,39.9759,0.4241
4/1/10,28.0662,38.6614,0.4892
4/11/10,83.71,33.6855,0.5423
4/21/10,45.4639,34.4859,0.5771
5/1/10,25.5489,34.369,0.5891
5/11/10,12.0747,34.8906,0.5795
5/21/10,14.907,34.286,0.5421
6/1/10,13.1415,32.9848,0.4878
6/11/10,8.1079,31.2609,0.4273
6/21/10,4.2487,31.7559,0.3841
7/1/10,6.4199,29.2393,0.3584
7/11/10,7.6365,34.3099,0.3456
7/21/10,8.8832,37.028,0.3394
8/1/10,4.6985,35.5855,0.3307
8/11/10,3.9697,41.1368,0.319
8/21/10,4.3,40.092,0.301
9/1/10,2.2424,41.6461,0.2871
9/11/10,2.46,40.0332,0.2689
9/21/10,3.3426,40.5599,0.2617
10/1/10,15.2735,44.126,0.2789
10/11/10,7.7609,42.2389,0.3282
10/21/10,16.0117,37.7115,0.3834
11/1/10,4.0452,40.2398,0.4137
11/11/10,5.9474,41.6449,0.4109
11/21/10,9.9201,42.0886,0.3869
12/1/10,0.8674,44.4708,0.3505
12/11/10,0.5958,44.3447,0.3195
12/21/10,1.0969,43.4943,0.2969
1/1/11,0.0022,44.5536,0.2814
1/11/11,0.0009,46.5714,0.2709
1/21/11,0.0171,45.9132,0.2628
2/1/11,0,49.8138,0.2562
2/11/11,0,46.9656,0.2521
2/21/11,0.2119,49.9551,0.2505
3/1/11,1.3061,49.556,0.2509
3/11/11,1.6087,48.0426,0.2553
3/21/11,2.3823,46.6784,0.261
4/1/11,5.3007,45.9149,0.2717
4/11/11,11.5694,45.4367,0.2996
4/21/11,22.3924,42.886,0.3552
5/1/11,58.8945,37.2541,0.4216
5/11/11,32.9959,39.7892,0.465
5/21/11,14.7984,36.908,0.4665
6/1/11,5.9493,38.3055,0.4385
6/11/11,4.1214,37.4022,0.3672
6/21/11,4.3044,38.4493,0.2944
7/1/11,6.3786,35.8573,0.239
7/11/11,15.6536,35.929,0.2236
7/21/11,8.8655,37.2672,0.2402
8/1/11,4.6961,40.369,0.265
8/11/11,4.8084,41.4491,0.2708
8/21/11,5.003,41.1481,0.2586
9/1/11,2.1745,41.7309,0.2454
9/11/11,2.2014,41.4489,0.2425
9/21/11,3.0873,44.2857,0.2653
10/1/11,42.9757,42.3127,0.3193
10/11/11,143.5661,33.5662,0.3948
10/21/11,68.7021,32.3917,0.4846
11/1/11,51.2052,32.8809,0.562
11/11/11,35.8219,30.8408,0.6153
11/21/11,52.827,31.9955,0.6455
12/1/11,22.5861,31.6139,0.6541
12/11/11,1.3221,34.4261,0.6295
12/21/11,2.4207,37.7659,0.5784
1/1/12,0,40.4824,0.5089
1/11/12,0,41.8927,0.439
1/21/12,0,42.69,0.383
2/1/12,0,44.9991,0.3402
2/11/12,0,44.8497,0.3104
2/21/12,0.9289,46.3485,0.2896
3/1/12,1.9771,47.5292,0.2777
3/11/12,1.3225,48.2616,0.2673
3/21/12,2.471,46.7212,0.2691
4/1/12,6.2007,45.4057,0.2965
4/11/12,70.7589,45.8932,0.3616
4/21/12,66.8752,37.0574,0.4496
5/1/12,21.5169,34.999,0.5266
5/11/12,33.2118,35.2424,0.5603
5/21/12,40.6831,32.8028,0.5525
6/1/12,5.855,33.7803,0.4887
6/11/12,4.1243,33.4305,0.3806
6/21/12,6.8003,33.8632,0.2687
7/1/12,6.9934,35.5187,0.2016
7/11/12,7.5314,33.3415,0.1951
7/21/12,8.8419,37.875,0.2328
8/1/12,5.1654,37.2311,0.2913
8/11/12,4.8037,38.3312,0.3042
8/21/12,4.9847,39.2366,0.2983
9/1/12,2.003,41.5271,0.2873
9/11/12,2.8399,41.3531,0.2907
9/21/12,3.6508,43.2902,0.3143
10/1/12,13.7215,40.3003,0.3667
10/11/12,58.1834,34.2761,0.452
10/21/12,64.3037,33.1728,0.5458
11/1/12,7.5385,33.7202,0.6087
11/11/12,51.8608,31.774,0.6303
11/21/12,5.9697,34.5471,0.6227
12/1/12,7.3843,36.4918,0.5907
12/11/12,6.1297,37.2887,0.5428
12/21/12,1.2181,40.5538,0.4873
1/1/13,0.3985,41.0428,0.4266
1/11/13,0,43.6322,0.3706
1/21/13,0.0016,45.3924,0.323
2/1/13,0,46.1049,0.2881
2/11/13,0,48.1481,0.268
2/21/13,0.3439,49.8533,0.2605
3/1/13,2.0596,48.1678,0.2656
3/11/13,11.0679,43.8535,0.2994
3/21/13,64.6961,40.8764,0.3756
4/1/13,101.6251,35.0024,0.4825
4/11/13,67.4057,31.5625,0.5821
4/21/13,62.0885,32.2935,0.6334
5/1/13,25.4324,30.5828,0.6525
5/11/13,10.6095,30.2432,0.6424
5/21/13,10.7304,33.106,0.6054
6/1/13,5.5043,32.8425,0.5363
6/11/13,4.9112,28.4999,0.476
6/21/13,4.8798,32.0501,0.4204
7/1/13,7.4135,34.5253,0.3721
7/11/13,8.6237,34.2481,0.3343
7/21/13,9.4223,35.5022,0.3194
8/1/13,5.6284,35.5482,0.3154
8/11/13,3.4825,40.9194,0.3307
8/21/13,3.8741,38.0122,0.3439
9/1/13,1.9732,42.4677,0.3443
9/11/13,2.4785,43.4518,0.3281
9/21/13,7.0827,42.0371,0.3303
