DT,NDVI,P,ET,LST
2003-01-10,0.4226,4.9102,41.4684,33.3723
2003-01-20,0.4218,4.9267,44.7001,36.8969
2003-01-31,0.4089,7.9644,53.0815,36.4667
2003-02-10,0.3856,3.5542,52.6346,39.5293
2003-02-20,0.3585,3.8231,55.1914,40.2476
2003-02-28,0.3364,8.0755,42.7991,40.3443
2003-03-10,0.3252,14.5091,56.0933,42.4036
2003-03-20,0.3292,17.0275,54.8929,39.9945
2003-03-31,0.3448,34.2263,53.5118,35.7399
2003-04-10,0.3711,18.6038,60.0783,41.8405
2003-04-20,0.4015,61.8914,40.5863,35.2432
2003-04-30,0.4392,80.9127,35.3459,28.3102
2003-05-10,0.4775,13.3396,50.715,33.0408
2003-05-20,0.5061,16.9794,52.9134,34.1962
2003-05-31,0.5132,13.0947,55.94,34.9466
2003-06-10,0.4993,38.8438,51.1008,31.7699
2003-06-20,0.4774,28.8113,44.6529,30.2402
2003-06-30,0.4597,21.3627,39.2029,29.0475
2003-07-10,0.4549,44.8302,36.6909,28.1779
2003-07-20,0.4696,49.5141,38.9952,25.7851
2003-07-31,0.5061,88.4606,36.3668,26.8743
2003-08-10,0.5575,34.7082,36.6602,24.2079
2003-08-20,0.6074,68.3918,37.3569,26.6484
2003-08-31,0.6395,66.0424,42.2463,25.4588
2003-09-10,0.6546,37.4223,43.0201,26.5239
2003-09-20,0.6619,30.304000000000002,41.5685,27.0078
2003-09-30,0.6591,40.6654,43.3122,26.0679
2003-10-10,0.6515,9.267000000000001,42.2696,27.6813
2003-10-20,0.6295,10.0154,43.6695,28.4137
2003-10-31,0.5933,11.5708,52.7491,30.7268
2003-11-10,0.5451,7.8276,41.0033,29.4735
2003-11-20,0.5015,5.2103,41.5453,31.3679
2003-11-30,0.4689,5.6319,40.4064,33.5959
2003-12-10,0.4503,13.2956,34.3998,28.1909
2003-12-20,0.4381,4.3414,40.5485,32.4316
2003-12-31,0.4258,6.2752,46.6399,34.7836
2004-01-10,0.4112,5.8718,45.8475,37.2165
2004-01-20,0.4027,15.1247,37.688,33.1634
2004-01-31,0.4011,16.2329,46.1793,31.9709
2004-02-10,0.3976,5.6756,40.6741,33.2919
2004-02-20,0.3822,4.6887,54.4368,42.8713
2004-02-28,0.3537,4.1703,49.5166,41.3612
2004-03-10,0.32799999999999996,12.5727,57.7244,41.6714
2004-03-20,0.318,21.0805,50.0235,38.228
2004-03-31,0.3451,24.2787,58.9732,40.6416
2004-04-10,0.4108,62.0951,39.1397,30.0311
2004-04-20,0.4899,64.285,35.1333,27.3876
2004-04-30,0.5518,31.1866,46.7617,32.3955
2004-05-10,0.5737,12.5119,54.4148,33.9427
2004-05-20,0.5588,9.65,59.0336,35.8865
2004-05-31,0.5231,16.0987,59.4891,34.5703
2004-06-10,0.4855,21.0797,47.726000000000006,31.8822
2004-06-20,0.4589,23.4212,40.36,32.2064
2004-06-30,0.4489,22.2868,44.9305,30.7013
2004-07-10,0.4542,22.1708,42.8028,28.4374
2004-07-20,0.4719,56.9384,37.9395,29.8671
2004-07-31,0.5024,58.5768,41.9859,28.1078
2004-08-10,0.5452,53.8964,37.204,28.0822
2004-08-20,0.5911,49.085,39.5729,27.820999999999998
2004-08-31,0.6315,48.8426,47.7605,27.4322
