DT,SM,NDVI
2003-01-01,18.6289,0.4226
2003-02-01,18.0102,0.3856
2003-03-01,18.5914,0.3448
2003-04-01,22.1417,0.4392
2003-05-01,24.8542,0.5132
2003-06-01,22.2618,0.4993
2003-07-01,24.0066,0.5061
2003-08-01,30.7299,0.6395
2003-09-01,31.9159,0.6619
2003-10-01,27.5985,0.6515
2003-11-01,22.5745,0.5451
2003-12-01,21.3436,0.4503
2004-01-01,20.8065,0.4112
2004-02-01,21.0549,0.3976
2004-03-01,20.1751,0.3451
2004-04-01,26.0135,0.5518
2004-05-01,23.791999999999998,0.5737
2004-06-01,21.1234,0.4855
2004-07-01,22.3387,0.5024
2004-08-01,28.5663,0.6315
2004-09-01,29.5067,0.6579
2004-10-01,27.6131,0.659
2004-11-01,22.9991,0.5725
2004-12-01,20.7495,0.4434
2005-01-01,20.0915,0.3664
2005-02-01,19.9993,0.3416
2005-03-01,22.3208,0.3906
2005-04-01,22.4039,0.4238
2005-05-01,31.1488,0.6039
2005-06-01,28.0673,0.6082
2005-07-01,27.6522,0.5449
2005-08-01,29.7891,0.6312
2005-09-01,30.265,0.6569
2005-10-01,27.1659,0.6523
2005-11-01,23.0948,0.5573
2005-12-01,21.1007,0.4465
2006-01-01,20.0629,0.3604
2006-02-01,20.0568,0.3288
2006-03-01,21.4314,0.4278
2006-04-01,26.659000000000002,0.5670000000000001
2006-05-01,25.7819,0.5758
2006-06-01,23.4729,0.5254
2006-07-01,25.8094,0.5105
2006-08-01,30.8912,0.5871
2006-09-01,32.7327,0.6244
2006-10-01,28.8636,0.6162
2006-11-01,28.0552,0.5994
2006-12-01,25.2609,0.5455
2007-01-01,23.4352,0.4618
2007-02-01,23.974,0.4014
2007-03-01,23.3103,0.3769
2007-04-01,26.7126,0.5167
2007-05-01,24.9955,0.5436
2007-06-01,26.7875,0.5319
2007-07-01,28.5309,0.5456
2007-08-01,33.4619,0.5965
2007-09-01,36.07,0.6661
2007-10-01,31.6781,0.669
2007-11-01,26.2181,0.5998
2007-12-01,22.8729,0.4638
2008-01-01,21.6238,0.3571
2008-02-01,20.933000000000003,0.3185
2008-03-01,19.7789,0.2813
2008-04-01,20.879,0.3773
2008-05-01,22.0941,0.485
2008-06-01,22.7441,0.5109
2008-07-01,25.6549,0.5479999999999999
2008-08-01,31.7882,0.6476
2008-09-01,31.9862,0.6656
2008-10-01,29.9775,0.6436
2008-11-01,31.0463,0.598
2008-12-01,26.5358,0.5297
2009-01-01,25.0912,0.384
2009-02-01,24.9751,0.3858
2009-03-01,23.0563,0.3481
2009-04-01,26.7382,0.4525
2009-05-01,22.8058,0.4696
2009-06-01,20.1324,0.44
2009-07-01,23.3137,0.44299999999999995
2009-08-01,27.2634,0.6076
2009-09-01,27.9403,0.6297
2009-10-01,27.4494,0.6242
2009-11-01,23.8323,0.5875
2009-12-01,22.180999999999997,0.4482
2010-01-01,21.289,0.3975
2010-02-01,23.033,0.3921
2010-03-01,27.4262,0.5388
2010-04-01,28.5276,0.5978
2010-05-01,32.6202,0.6058
2010-06-01,30.4836,0.5759
2010-07-01,29.2274,0.4978
2010-08-01,33.6897,0.5964
2010-09-01,36.2068,0.634
2010-10-01,30.6652,0.6311
2010-11-01,25.0637,0.5482
2010-12-01,22.1792,0.4312
2011-01-01,21.1024,0.3548
2011-02-01,20.5451,0.3193
2011-03-01,20.5944,0.3192
2011-04-01,19.4103,0.3321
2011-05-01,21.584,0.4312
2011-06-01,24.9505,0.5119
2011-07-01,28.0421,0.5685
2011-08-01,33.1421,0.6384
2011-09-01,35.3472,0.6852
2011-10-01,29.5894,0.6867
2011-11-01,25.0864,0.5928
2011-12-01,22.3149,0.5039
2012-01-01,20.9013,0.379
2012-02-01,20.144000000000002,0.3065
2012-03-01,19.3678,0.2864
2012-04-01,23.4311,0.4488
2012-05-01,23.0712,0.5078
2012-06-01,20.1561,0.4636
2012-07-01,23.7741,0.5404
2012-08-01,29.9797,0.6446
2012-09-01,34.6284,0.672
2012-10-01,30.2729,0.6742
2012-11-01,26.2662,0.597
2012-12-01,22.9242,0.4609
2013-01-01,21.7292,0.3704
2013-02-01,21.0052,0.3234
2013-03-01,21.2575,0.3636
2013-04-01,26.4398,0.5358
2013-05-01,27.4045,0.5601
2013-06-01,25.4331,0.5361
2013-07-01,28.813000000000002,0.505
2013-08-01,33.4873,0.6447
2013-09-01,34.7725,0.6687
2013-10-01,32.5754,0.648
2013-11-01,28.2091,0.6098
2013-12-01,24.9711,0.5138
2014-01-01,23.2939,0.3807
2014-02-01,22.8435,0.3243
2014-03-01,23.3092,0.4009
2014-04-01,24.8678,0.4921
2014-05-01,24.1728,0.5136
2014-06-01,22.2757,0.5071
2014-07-01,21.5374,0.4637
2014-08-01,25.357,0.5944
2014-09-01,29.2037,0.6554
2014-10-01,31.5869,0.6674
2014-11-01,26.5396,0.6092
2014-12-01,23.7565,0.483
2015-01-01,22.3527,0.377
2015-02-01,21.7149,0.3118
2015-03-01,21.2214,0.2937
2015-04-01,22.1609,0.3361
2015-05-01,23.8379,0.4421
2015-06-01,22.5428,0.491
2015-07-01,22.5981,0.5388
2015-08-01,27.7059,0.6209
2015-09-01,26.4824,0.6375
2015-10-01,23.4491,0.5907
2015-11-01,21.0176,0.5281
2015-12-01,19.3378,0.4572
2016-01-01,18.989,0.361
2016-02-01,18.8892,0.3197
2016-03-01,19.4583,0.3205
2016-04-01,22.3993,0.4559
2016-05-01,31.7957,0.5925
2016-06-01,28.494,0.5762
2016-07-01,31.1612,0.5439
2016-08-01,32.5132,0.6303
2016-09-01,29.4532,0.6356
2016-10-01,28.0561,0.6093
2016-11-01,24.461,0.5548
2016-12-01,22.5295,0.4684
2017-01-01,21.1936,0.3883
2017-02-01,21.2376,0.3225
2017-03-01,21.2821,0.3329
2017-04-01,23.5451,0.4212
2017-05-01,24.0173,0.4979
2017-06-01,22.5233,0.5056
2017-07-01,25.3325,0.4971
2017-08-01,30.075,0.5710000000000001
2017-09-01,35.4967,0.6189
2017-10-01,32.04,0.6321
2017-11-01,27.4269,0.5666
2017-12-01,23.9733,0.4478
2018-01-01,22.3858,0.3312
2018-02-01,22.3288,0.3004
2018-03-01,25.8536,0.4009
2018-04-01,29.8932,0.5353
2018-05-01,31.4153,0.5722
2018-06-01,31.1864,0.5474
2018-07-01,32.4379,0.5462
2018-08-01,31.3041,0.6251
2018-09-01,32.7094,0.6445
2018-10-01,28.7162,0.5924
2018-11-01,26.930999999999997,0.5253
2018-12-01,24.1528,0.4839
2019-01-01,22.5399,0.3926
2019-02-01,21.8613,0.3123
2019-03-01,21.5165,0.32
