DT,SM,NDVI
1/1/03,18.6289,0.4226
2/1/03,18.0102,0.3856
3/1/03,18.5914,0.3448
4/1/03,22.1417,0.4392
5/1/03,24.8542,0.5132
6/1/03,22.2618,0.4993
7/1/03,24.0066,0.5061
8/1/03,30.7299,0.6395
9/1/03,31.9159,0.6619
10/1/03,27.5985,0.6515
11/1/03,22.5745,0.5451
12/1/03,21.3436,0.4503
1/1/04,20.8065,0.4112
2/1/04,21.0549,0.3976
3/1/04,20.1751,0.3451
4/1/04,26.0135,0.5518
5/1/04,23.792,0.5737
6/1/04,21.1234,0.4855
7/1/04,22.3387,0.5024
8/1/04,28.5663,0.6315
9/1/04,29.5067,0.6579
10/1/04,27.6131,0.659
11/1/04,22.9991,0.5725
12/1/04,20.7495,0.4434
1/1/05,20.0915,0.3664
2/1/05,19.9993,0.3416
3/1/05,22.3208,0.3906
4/1/05,22.4039,0.4238
5/1/05,31.1488,0.6039
6/1/05,28.0673,0.6082
7/1/05,27.6522,0.5449
8/1/05,29.7891,0.6312
9/1/05,30.265,0.6569
10/1/05,27.1659,0.6523
11/1/05,23.0948,0.5573
12/1/05,21.1007,0.4465
1/1/06,20.0629,0.3604
2/1/06,20.0568,0.3288
3/1/06,21.4314,0.4278
4/1/06,26.659,0.567
5/1/06,25.7819,0.5758
6/1/06,23.4729,0.5254
7/1/06,25.8094,0.5105
8/1/06,30.8912,0.5871
9/1/06,32.7327,0.6244
10/1/06,28.8636,0.6162
11/1/06,28.0552,0.5994
12/1/06,25.2609,0.5455
1/1/07,23.4352,0.4618
2/1/07,23.974,0.4014
3/1/07,23.3103,0.3769
4/1/07,26.7126,0.5167
5/1/07,24.9955,0.5436
6/1/07,26.7875,0.5319
7/1/07,28.5309,0.5456
8/1/07,33.4619,0.5965
9/1/07,36.07,0.6661
10/1/07,31.6781,0.669
11/1/07,26.2181,0.5998
12/1/07,22.8729,0.4638
1/1/08,21.6238,0.3571
2/1/08,20.933,0.3185
3/1/08,19.7789,0.2813
4/1/08,20.879,0.3773
5/1/08,22.0941,0.485
6/1/08,22.7441,0.5109
7/1/08,25.6549,0.548
8/1/08,31.7882,0.6476
9/1/08,31.9862,0.6656
10/1/08,29.9775,0.6436
11/1/08,31.0463,0.598
12/1/08,26.5358,0.5297
1/1/09,25.0912,0.384
2/1/09,24.9751,0.3858
3/1/09,23.0563,0.3481
4/1/09,26.7382,0.4525
5/1/09,22.8058,0.4696
