DT,NDVI,P,ET,LST
2003-01-10,0.4503,2.5269,53.1511,37.0829
2003-01-20,0.43,2.4661,52.5483,37.8797
2003-01-31,0.4075,3.014,63.6974,39.7527
2003-02-10,0.3859,1.7088,63.5652,42.6934
2003-02-20,0.3654,2.0174,65.2574,41.873999999999995
2003-02-28,0.3485,1.5843,52.3554,41.4032
2003-03-10,0.3361,6.976,66.9315,44.9347
2003-03-20,0.3318,8.0066,65.9938,41.3796
2003-03-31,0.34299999999999997,11.3738,68.6057,38.8537
2003-04-10,0.37799999999999995,13.014000000000001,68.6202,43.0683
2003-04-20,0.4409,85.066,45.7861,36.4818
2003-04-30,0.5272,83.0382,39.672,30.5109
2003-05-10,0.6011,21.3371,48.9574,30.1639
2003-05-20,0.6323,38.4475,51.8501,30.8278
2003-05-31,0.6323,45.3783,51.6186,31.4053
2003-06-10,0.6079,20.0971,53.2779,28.9827
2003-06-20,0.5663,6.7895,54.6303,28.9367
2003-06-30,0.5204,7.1188,54.0516,31.7159
2003-07-10,0.4731,6.8847,53.9059,32.3319
2003-07-20,0.4293,8.384,57.6393,32.3617
2003-07-31,0.3993,14.5881,63.8644,33.6767
2003-08-10,0.3906,8.0752,57.2895,32.5333
2003-08-20,0.4006,18.0691,54.1086,34.7489
2003-08-31,0.4242,19.6355,64.7668,35.4952
2003-09-10,0.4386,20.3752,58.6813,35.391
2003-09-20,0.442,12.9516,60.7945,37.9973
2003-09-30,0.4441,15.0299,60.6598,35.9042
2003-10-10,0.4739,20.6055,48.9325,35.2746
2003-10-20,0.5151,29.5443,50.3761,32.1456
2003-10-31,0.544,21.5434,61.8087,34.3727
2003-11-10,0.5426,11.8234,50.2461,33.9276
2003-11-20,0.5291,10.2577,46.6923,34.6281
2003-11-30,0.5096,18.1025,44.9896,35.7296
2003-12-10,0.5025,22.1301,39.2679,31.4483
2003-12-20,0.4976,5.7795,48.3913,34.4668
2003-12-31,0.4893,7.8123,55.2009,37.1434
2004-01-10,0.4763,4.3927,52.4747,38.9916
2004-01-20,0.4663,8.8836,47.3008,34.2192
2004-01-31,0.45799999999999996,12.3614,56.0869,36.2408
2004-02-10,0.4439,2.6972,53.6023,37.6665
2004-02-20,0.4174,2.8536,61.9363,43.3216
2004-02-28,0.3795,2.4459,58.3717,43.7435
2004-03-10,0.3452,7.5606,67.7197,43.9993
2004-03-20,0.3329,7.1770000000000005,61.7657,41.7213
2004-03-31,0.3627,13.4271,71.0048,43.4306
2004-04-10,0.4373,73.3758,43.1866,34.1887
2004-04-20,0.5329,63.3185,44.0404,31.7172
2004-04-30,0.6053,39.551,49.8951,32.3452
2004-05-10,0.6275,31.3578,55.4025,31.3949
2004-05-20,0.6108,12.8465,64.5322,33.1532
2004-05-31,0.5676,21.5425,65.7205,32.6518
2004-06-10,0.5159,6.3755,57.3374,31.8412
2004-06-20,0.4647,5.5812,60.6593,33.086
2004-06-30,0.4243,5.407,61.1721,34.2298
2004-07-10,0.3934,5.45,61.925,35.1882
2004-07-20,0.371,5.4837,61.7322,35.3052
2004-07-31,0.3615,11.4106,65.1601,35.2636
2004-08-10,0.3614,9.918,61.4827,35.144
2004-08-20,0.3666,12.0145,67.4039,38.2475
2004-08-31,0.3739,12.4092,73.168,36.0777
2004-09-10,0.3787,21.8568,64.5823,38.5114
2004-09-20,0.3904,19.749000000000002,62.51,37.7622
2004-09-30,0.4243,22.0303,54.0349,35.8154
2004-10-10,0.4841,24.7676,48.7626,33.8565
2004-10-20,0.5504,36.395,41.151,31.429000000000002
2004-10-31,0.5937,26.805,55.427,35.2845
2004-11-10,0.6037,11.0761,47.7232,31.3456
2004-11-20,0.5962,11.6966,44.592,32.1414
2004-11-30,0.5754,18.1986,44.1313,32.0439
2004-12-10,0.5378,4.7744,46.556000000000004,34.3788
2004-12-20,0.4896,4.9441,50.3329,36.0535
2004-12-31,0.4422,6.7734,52.5889,35.7003
2005-01-10,0.4045,3.6315,52.549,41.6037
2005-01-20,0.3796,2.5205,49.9995,36.7575
2005-01-31,0.3624,4.4652,56.9732,39.5774
2005-02-10,0.3492,2.1727,61.121,42.391000000000005
2005-02-20,0.34,2.7518,64.4907,43.221000000000004
2005-02-28,0.3438,6.9563,50.68,44.4065
2005-03-10,0.3597,16.8132,52.9023,36.6002
2005-03-20,0.3804,9.5451,53.3193,37.1538
2005-03-31,0.3949,10.6816,72.0787,42.919
2005-04-10,0.4063,17.3827,66.9335,43.4707
2005-04-20,0.4285,32.8258,50.43,35.051
2005-04-30,0.4831,94.5102,35.7714,29.4363
2005-05-10,0.5617,94.8759,35.8767,29.416
2005-05-20,0.6325,40.8522,42.4228,28.5152
2005-05-31,0.66,68.7854,41.538999999999994,28.2059
2005-06-10,0.6464,12.1501,46.093,28.7635
2005-06-20,0.5956,5.6693,51.0801,28.0604
2005-06-30,0.5389,5.8553,51.9883,28.7856
2005-07-10,0.4812,6.9601,53.4135,30.3279
2005-07-20,0.4408,5.937,55.3664,31.4013
2005-07-31,0.4121,9.4342,62.8484,32.218
2005-08-10,0.3995,6.9069,58.6888,32.453
2005-08-20,0.4002,7.1343,59.9864,34.2091
2005-08-31,0.4116,9.099,74.8435,37.1111
2005-09-10,0.419,19.6966,63.0893,36.3373
2005-09-20,0.4307,21.535,55.205,35.1679
2005-09-30,0.4624,27.8767,60.3454,36.7877
2005-10-10,0.5144,27.0464,48.8454,30.8868
2005-10-20,0.5673,31.8274,45.2387,31.552
2005-10-31,0.5913,27.7353,51.4882,31.4207
2005-11-10,0.5921,5.4164,51.706,34.8332
2005-11-20,0.5729,19.0436,43.8402,32.5823
2005-11-30,0.5424,8.6204,54.4489,34.4512
2005-12-10,0.495,1.2568,53.6278,35.8132
2005-12-20,0.451,1.5954,56.0286,39.4562
2005-12-31,0.4143,2.3047,61.2278,40.1064
2006-01-10,0.38799999999999996,2.6839999999999997,53.7935,39.7615
2006-01-20,0.3728,2.1767,56.1612,39.4596
2006-01-31,0.3627,2.4285,63.6944,41.8587
2006-02-10,0.3523,1.3556,60.6174,42.0523
2006-02-20,0.3419,5.2439,60.2927,41.7979
2006-02-28,0.3399,14.5634,42.8671,38.0394
2006-03-10,0.3565,7.1213,61.3007,40.9994
2006-03-20,0.3954,13.3377,54.3237,36.5236
2006-03-31,0.4512,25.7367,62.7694,37.2403
2006-04-10,0.5189,120.4023,43.4403,31.1141
2006-04-20,0.5799,53.9905,50.2206,34.4162
2006-04-30,0.6133,71.0314,40.2906,29.6017
2006-05-10,0.6213,43.9096,45.56100000000001,29.2427
2006-05-20,0.6184,46.6012,41.2653,29.6042
2006-05-31,0.6008,21.633000000000003,52.6406,31.6237
2006-06-10,0.5624,10.3936,49.6987,31.2113
2006-06-20,0.5182,16.4756,50.1651,31.5159
2006-06-30,0.47,8.2716,54.0218,32.2169
2006-07-10,0.4219,7.1319,50.5731,31.8981
2006-07-20,0.38299999999999995,5.0755,53.6466,33.1522
2006-07-31,0.3547,8.4888,55.7183,33.809
2006-08-10,0.3473,14.7532,49.3763,33.1345
2006-08-20,0.3601,13.5374,57.4683,35.1185
2006-08-31,0.3843,23.1161,65.5253,34.9168
2006-09-10,0.4019,19.9698,57.0577,36.0437
2006-09-20,0.4172,26.5467,55.3289,37.0315
2006-09-30,0.4443,27.4755,52.7191,34.5749
2006-10-10,0.4977,35.5126,46.4038,31.5415
2006-10-20,0.5698,60.3185,41.5322,30.0091
2006-10-31,0.6322,111.1006,37.1585,26.1941
2006-11-10,0.6592,7.8543,43.7482,29.272
2006-11-20,0.6629999999999999,14.7466,40.9816,28.1817
2006-11-30,0.6562,18.8931,45.1228,31.4226
2006-12-10,0.6428,23.5071,39.5581,27.0002
2006-12-20,0.6118,3.6189999999999998,48.2516,32.4395
2006-12-31,0.5687,5.1463,52.7069,34.2828
2007-01-10,0.5207,1.3601,52.7034,36.963
2007-01-20,0.47600000000000003,1.385,53.0645,37.6526
2007-01-31,0.43700000000000006,2.3843,59.5923,37.5009
2007-02-10,0.405,4.1846,53.7319,39.8384
2007-02-20,0.3767,2.2807,60.9224,41.4245
2007-02-28,0.354,3.2114,50.8704,42.1068
2007-03-10,0.3475,6.7996,65.969,42.7778
2007-03-20,0.3616,17.4278,63.4274,43.5461
2007-03-31,0.3998,20.4038,58.5624,34.8887
2007-04-10,0.4646,23.8183,57.5353,36.4684
2007-04-20,0.5433,125.6523,36.2987,31.7947
2007-04-30,0.6111,33.4003,47.239,30.6553
2007-05-10,0.6401,23.02,45.9854,29.9556
2007-05-20,0.6387,56.161,46.4828,31.2881
2007-05-31,0.6228,47.0123,50.7949,30.186
2007-06-10,0.5946,20.119,48.1669,28.938000000000002
2007-06-20,0.5533,13.6842,51.5402,29.9728
2007-06-30,0.5096,13.6486,49.5133,30.8925
2007-07-10,0.4699,11.0663,53.1388,32.001999999999995
2007-07-20,0.4367,3.9292,57.9538,34.2667
2007-07-31,0.4141,18.5652,61.8933,33.8283
2007-08-10,0.4009,11.5489,56.4476,33.2132
2007-08-20,0.3994,17.2962,53.8301,33.7045
2007-08-31,0.4097,16.8483,63.1615,35.3435
2007-09-10,0.4371,24.4011,55.6525,35.3429
2007-09-20,0.4795,28.2228,53.782,34.1832
2007-09-30,0.5313,43.3043,50.0231,33.583
2007-10-10,0.5797,38.5029,48.986999999999995,31.1587
2007-10-20,0.6066,31.5726,44.2389,30.0838
2007-10-31,0.6186,26.125,54.9756,30.7898
2007-11-10,0.6132,33.4393,43.0329,31.4038
2007-11-20,0.5922,13.4638,43.2256,31.1335
