DT,SM,NDVI
2003-01-01,25.1879,0.4503
2003-02-01,24.3744,0.3859
2003-03-01,23.9742,0.34299999999999997
2003-04-01,26.5517,0.5272
2003-05-01,30.9144,0.6323
2003-06-01,28.8926,0.6079
2003-07-01,26.393,0.4731
2003-08-01,26.794,0.4242
2003-09-01,27.8653,0.4441
2003-10-01,27.5285,0.544
2003-11-01,25.4395,0.5426
2003-12-01,26.0199,0.5025
2004-01-01,25.1036,0.4763
2004-02-01,24.9186,0.4439
2004-03-01,23.9798,0.3627
2004-04-01,28.8747,0.6053
2004-05-01,29.4472,0.6275
2004-06-01,25.2685,0.5159
2004-07-01,23.7,0.3934
2004-08-01,24.1805,0.3739
2004-09-01,24.7859,0.4243
2004-10-01,26.9377,0.5937
2004-11-01,25.8257,0.6037
2004-12-01,24.636999999999997,0.5378
2005-01-01,23.5543,0.4045
2005-02-01,23.1702,0.3492
2005-03-01,24.1988,0.3949
2005-04-01,24.0408,0.4831
2005-05-01,34.3996,0.66
2005-06-01,32.8228,0.6464
2005-07-01,29.2758,0.4812
2005-08-01,28.5999,0.4116
2005-09-01,28.4552,0.4624
2005-10-01,29.74,0.5913
2005-11-01,28.0944,0.5921
2005-12-01,25.8914,0.495
2006-01-01,24.8071,0.38799999999999996
2006-02-01,24.5184,0.3523
2006-03-01,25.133000000000003,0.4512
2006-04-01,32.0039,0.6133
2006-05-01,34.3543,0.6213
2006-06-01,30.608,0.5624
2006-07-01,28.4963,0.4219
2006-08-01,28.4628,0.3843
2006-09-01,29.1553,0.4443
2006-10-01,32.4604,0.6322
2006-11-01,34.3105,0.6629999999999999
2006-12-01,32.1255,0.6428
2007-01-01,29.954,0.5207
2007-02-01,29.4913,0.405
2007-03-01,29.0034,0.3998
2007-04-01,32.5457,0.6111
2007-05-01,33.332,0.6401
2007-06-01,32.5487,0.5946
2007-07-01,29.9011,0.4699
2007-08-01,30.0947,0.4097
2007-09-01,31.2994,0.5313
2007-10-01,32.9431,0.6186
2007-11-01,31.1654,0.6132
2007-12-01,28.1124,0.4992
2008-01-01,27.0027,0.3851
2008-02-01,26.3985,0.3416
2008-03-01,25.7623,0.32
2008-04-01,28.572,0.5228
2008-05-01,31.1486,0.5943
2008-06-01,28.2162,0.5303
2008-07-01,26.2202,0.4053
2008-08-01,27.0543,0.3636
2008-09-01,27.3435,0.4455
2008-10-01,29.9545,0.6143
2008-11-01,32.7302,0.6442
2008-12-01,28.7135,0.5567
2009-01-01,27.5379,0.3993
2009-02-01,27.2302,0.3692
2009-03-01,26.364,0.3734
2009-04-01,29.6265,0.5826
2009-05-01,30.0308,0.615
2009-06-01,26.9634,0.5689
2009-07-01,25.3001,0.3853
2009-08-01,25.0063,0.3602
2009-09-01,25.6115,0.4331
2009-10-01,29.6414,0.6252
2009-11-01,27.5924,0.6225
2009-12-01,26.2793,0.503
2010-01-01,25.2777,0.3959
2010-02-01,24.9938,0.3647
2010-03-01,29.6221,0.5706
2010-04-01,34.2856,0.6323
2010-05-01,37.4565,0.6417
2010-06-01,34.0647,0.5888
2010-07-01,31.1182,0.4427
2010-08-01,30.8093,0.4194
2010-09-01,31.6172,0.4897
2010-10-01,30.2102,0.5836
2010-11-01,28.0004,0.5835
2010-12-01,25.7541,0.4627
2011-01-01,24.9274,0.3682
2011-02-01,24.4582,0.3269
2011-03-01,24.1801,0.3181
2011-04-01,23.3734,0.396
2011-05-01,29.0607,0.5622
2011-06-01,29.2522,0.556
2011-07-01,27.2355,0.4654
2011-08-01,27.4144,0.4009
2011-09-01,29.0257,0.4952
2011-10-01,29.4974,0.6159
2011-11-01,30.8749,0.6164
2011-12-01,28.6497,0.5764
2012-01-01,26.7473,0.4187
2012-02-01,26.0049,0.3274
2012-03-01,25.5142,0.3202
2012-04-01,29.543000000000003,0.5475
2012-05-01,32.9187,0.6202
2012-06-01,28.9419,0.5515
2012-07-01,27.0286,0.4204
2012-08-01,27.2402,0.4074
2012-09-01,29.6287,0.4822
2012-10-01,29.8503,0.6202
2012-11-01,30.5528,0.6304
2012-12-01,27.6863,0.5534
2013-01-01,26.5251,0.4241
2013-02-01,25.8577,0.3486
2013-03-01,26.8608,0.4363
2013-04-01,36.2886,0.6328
2013-05-01,36.5772,0.6352
2013-06-01,32.5259,0.5264
2013-07-01,30.7563,0.3818
2013-08-01,31.0303,0.4116
2013-09-01,31.0908,0.484
2013-10-01,33.3161,0.6245
2013-11-01,32.5576,0.6546
2013-12-01,29.616999999999997,0.5847
2014-01-01,28.1491,0.4141
2014-02-01,27.7157,0.3447
2014-03-01,27.8684,0.4309
2014-04-01,29.2325,0.5579999999999999
2014-05-01,31.8903,0.6002
2014-06-01,28.5117,0.5721
2014-07-01,26.7875,0.3834
2014-08-01,26.6932,0.392
2014-09-01,28.5864,0.4837
2014-10-01,32.6537,0.632
2014-11-01,30.0759,0.6414
2014-12-01,27.8218,0.5685
2015-01-01,26.5165,0.4215
2015-02-01,26.0891,0.3348
2015-03-01,25.7823,0.3828
2015-04-01,29.1295,0.5266
2015-05-01,32.7299,0.5849
2015-06-01,30.1757,0.5754
2015-07-01,27.5468,0.4639
2015-08-01,27.3509,0.3858
2015-09-01,27.1696,0.4068
2015-10-01,28.7826,0.6097
2015-11-01,28.4361,0.6528
2015-12-01,25.9359,0.5906
2016-01-01,25.02,0.4333
2016-02-01,24.6167,0.3413
2016-03-01,25.2391,0.3862
2016-04-01,31.101999999999997,0.5622
2016-05-01,36.0976,0.6342
2016-06-01,31.3888,0.5638
2016-07-01,29.4852,0.41600000000000004
