DT,SM,NDVI
1/1/03,25.1879,0.4503
2/1/03,24.3744,0.3859
3/1/03,23.9742,0.343
4/1/03,26.5517,0.5272
5/1/03,30.9144,0.6323
6/1/03,28.8926,0.6079
7/1/03,26.393,0.4731
8/1/03,26.794,0.4242
9/1/03,27.8653,0.4441
10/1/03,27.5285,0.544
11/1/03,25.4395,0.5426
12/1/03,26.0199,0.5025
1/1/04,25.1036,0.4763
2/1/04,24.9186,0.4439
3/1/04,23.9798,0.3627
4/1/04,28.8747,0.6053
5/1/04,29.4472,0.6275
6/1/04,25.2685,0.5159
7/1/04,23.7,0.3934
8/1/04,24.1805,0.3739
9/1/04,24.7859,0.4243
10/1/04,26.9377,0.5937
11/1/04,25.8257,0.6037
12/1/04,24.637,0.5378
1/1/05,23.5543,0.4045
2/1/05,23.1702,0.3492
3/1/05,24.1988,0.3949
4/1/05,24.0408,0.4831
5/1/05,34.3996,0.66
6/1/05,32.8228,0.6464
7/1/05,29.2758,0.4812
8/1/05,28.5999,0.4116
9/1/05,28.4552,0.4624
10/1/05,29.74,0.5913
11/1/05,28.0944,0.5921
12/1/05,25.8914,0.495
1/1/06,24.8071,0.388
2/1/06,24.5184,0.3523
3/1/06,25.133,0.4512
4/1/06,32.0039,0.6133
5/1/06,34.3543,0.6213
6/1/06,30.608,0.5624
7/1/06,28.4963,0.4219
8/1/06,28.4628,0.3843
9/1/06,29.1553,0.4443
10/1/06,32.4604,0.6322
11/1/06,34.3105,0.663
12/1/06,32.1255,0.6428
1/1/07,29.954,0.5207
2/1/07,29.4913,0.405
3/1/07,29.0034,0.3998
4/1/07,32.5457,0.6111
5/1/07,33.332,0.6401
6/1/07,32.5487,0.5946
7/1/07,29.9011,0.4699
8/1/07,30.0947,0.4097
9/1/07,31.2994,0.5313
10/1/07,32.9431,0.6186
11/1/07,31.1654,0.6132
12/1/07,28.1124,0.4992
1/1/08,27.0027,0.3851
2/1/08,26.3985,0.3416
3/1/08,25.7623,0.32
4/1/08,28.572,0.5228
5/1/08,31.1486,0.5943
6/1/08,28.2162,0.5303
7/1/08,26.2202,0.4053
8/1/08,27.0543,0.3636
9/1/08,27.3435,0.4455
10/1/08,29.9545,0.6143
11/1/08,32.7302,0.6442
12/1/08,28.7135,0.5567
1/1/09,27.5379,0.3993
2/1/09,27.2302,0.3692
3/1/09,26.364,0.3734
