DT,SM,NDVI,,_ NDVI,,max NDVI min NDVI,,,NDVImax -NDVIt-1)*ln(SMt-1),t-2,t-3,t-4,t-5
1/1/03,28.4289,0.5292,,,,0.6845,0.2864,,,,,,
2/1/03,27.0522,0.457,,-0.0722,,,,,4.41500817,,,,
3/1/03,26.3718,0.3536,,-0.1034,,,,,6.1543755,4.41500817,,,
4/1/03,30.3291,0.5453,,0.1917,,,,,8.72642862,6.1543755,4.41500817,,
5/1/03,38.1178,0.6845,,0.1392,,,,,4.22181072,8.72642862,6.1543755,4.41500817,
6/1/03,34.3692,0.6548,,-0.0297,,,,,0,4.22181072,8.72642862,6.1543755,4.41500817
7/1/03,31.3462,0.4935,,-0.1613,,,,,1.02076524,0,4.22181072,8.72642862,6.1543755
8/1/03,30.3351,0.4043,,-0.0892,,,,,5.9871242,1.02076524,0,4.22181072,8.72642862
9/1/03,30.3801,0.4063,,0.002,,,,,8.49989502,5.9871242,1.02076524,0,4.22181072
10/1/03,30.4087,0.4202,,0.0139,,,,,8.45174382,8.49989502,5.9871242,1.02076524,0
11/1/03,30.0597,0.4782,,0.058,,,,,8.03701941,8.45174382,8.49989502,5.9871242,1.02076524
12/1/03,29.9906,0.4973,,0.0191,,,,,6.20131611,8.03701941,8.45174382,8.49989502,5.9871242
1/1/04,28.6591,0.4547,,-0.0426,,,,,5.61424032,6.20131611,8.03701941,8.45174382,8.49989502
2/1/04,28.2549,0.4291,,-0.0256,,,,,6.58586118,5.61424032,6.20131611,8.03701941,8.45174382
3/1/04,27.0647,0.3453,,-0.0838,,,,,7.21630146,6.58586118,5.61424032,6.20131611,8.03701941
4/1/04,31.7119,0.6262,,0.2809,,,,,9.18034624,7.21630146,6.58586118,5.61424032,6.20131611
5/1/04,31.8599,0.6435,,0.0173,,,,,1.84880377,9.18034624,7.21630146,6.58586118,5.61424032
6/1/04,27.2462,0.4919,,-0.1516,,,,,1.3062559,1.84880377,9.18034624,7.21630146,6.58586118
7/1/04,25.2776,0.3626,,-0.1293,,,,,5.24761812,1.3062559,1.84880377,9.18034624,7.21630146
8/1/04,24.8827,0.3237,,-0.0389,,,,,8.13685944,5.24761812,1.3062559,1.84880377,9.18034624
9/1/04,24.8221,0.3384,,0.0147,,,,,8.97767816,8.13685944,5.24761812,1.3062559,1.84880377
10/1/04,26.7668,0.5395,,0.2011,,,,,8.59092881,8.97767816,8.13685944,5.24761812,1.3062559
11/1/04,29.7326,0.6047,,0.0652,,,,,3.881186,8.59092881,8.97767816,8.13685944,5.24761812
12/1/04,28.795,0.5743,,-0.0304,,,,,2.37266148,3.881186,8.59092881,8.97767816,8.13685944
1/1/05,27.3567,0.4113,,-0.163,,,,,3.173209,2.37266148,3.881186,8.59092881,8.97767816
2/1/05,26.8491,0.347,,-0.0643,,,,,7.47385044,3.173209,2.37266148,3.881186,8.59092881
3/1/05,27.6145,0.3997,,0.0527,,,,,9.06157125,7.47385044,3.173209,2.37266148,3.881186
4/1/05,27.3313,0.4922,,0.0925,,,,,7.8646096,9.06157125,7.47385044,3.173209,2.37266148
5/1/05,33.8204,0.605,,0.1128,,,,,5.25580899,7.8646096,9.06157125,7.47385044,3.173209
6/1/05,32.1248,0.5984,,-0.0066,,,,,2.6887218,5.25580899,7.8646096,9.06157125,7.47385044
7/1/05,29.0988,0.4413,,-0.1571,,,,,2.76594528,2.6887218,5.25580899,7.8646096,9.06157125
8/1/05,27.9425,0.3602,,-0.0811,,,,,7.07682816,2.76594528,2.6887218,5.25580899,7.8646096
9/1/05,27.435,0.3534,,-0.0068,,,,,9.06175275,7.07682816,2.76594528,2.6887218,5.25580899
10/1/05,28.6812,0.4515,,0.0981,,,,,9.0837285,9.06175275,7.07682816,2.76594528,2.6887218
11/1/05,28.7592,0.5141,,0.0626,,,,,6.6827196,9.0837285,9.06175275,7.07682816,2.76594528
12/1/05,26.5001,0.4543,,-0.0598,,,,,4.90056768,6.6827196,9.0837285,9.06175275,7.07682816
1/1/06,25.3954,0.3195,,-0.1348,,,,,6.10032302,4.90056768,6.6827196,9.0837285,9.06175275
2/1/06,25.0379,0.3134,,-0.0061,,,,,9.269321,6.10032302,4.90056768,6.6827196,9.0837285
3/1/06,25.8542,0.4488,,0.1354,,,,,9.29156469,9.269321,6.10032302,4.90056768,6.6827196
4/1/06,31.9193,0.6164,,0.1676,,,,,6.09383494,9.29156469,9.269321,6.10032302,4.90056768
5/1/06,31.943,0.6227,,0.0063,,,,,2.17370433,6.09383494,9.29156469,9.269321,6.10032302
6/1/06,28.2253,0.4952,,-0.1275,,,,,1.9740774,2.17370433,6.09383494,9.29156469,9.269321
7/1/06,26.2314,0.3268,,-0.1684,,,,,5.34304929,1.9740774,2.17370433,6.09383494,9.29156469
8/1/06,26.1925,0.3541,,0.0273,,,,,9.38297178,5.34304929,1.9740774,2.17370433,6.09383494
9/1/06,25.7158,0.3638,,0.0097,,,,,8.654002,9.38297178,5.34304929,1.9740774,2.17370433
10/1/06,28.4524,0.5028,,0.139,,,,,8.24705706,8.654002,9.38297178,5.34304929,1.9740774
11/1/06,33.4835,0.6307,,0.1279,,,,,5.16980108,8.24705706,8.654002,9.38297178,5.34304929
12/1/06,33.2533,0.629,,-0.0017,,,,,1.8014123,5.16980108,8.24705706,8.654002,9.38297178
1/1/07,30.9388,0.5056,,-0.1234,,,,,1.84555815,1.8014123,5.16980108,8.24705706,8.654002
2/1/07,30.3182,0.3865,,-0.1191,,,,,5.53495132,1.84555815,1.8014123,5.16980108,8.24705706
3/1/07,29.5002,0.3712,,-0.0153,,,,,9.0348236,5.53495132,1.84555815,1.8014123,5.16980108
4/1/07,31.5311,0.5752,,0.204,,,,,9.24241266,9.0348236,5.53495132,1.84555815,1.8014123
5/1/07,32.6514,0.6054,,0.0302,,,,,3.44634923,9.24241266,9.0348236,5.53495132,1.84555815
6/1/07,30.0979,0.5326,,-0.0728,,,,,2.58272574,3.44634923,9.24241266,9.0348236,5.53495132
7/1/07,27.6968,0.4058,,-0.1268,,,,,4.57187101,2.58272574,3.44634923,9.24241266,9.0348236
8/1/07,27.7554,0.3775,,-0.0283,,,,,7.71909816,4.57187101,2.58272574,3.44634923,9.24241266
9/1/07,28.1748,0.4366,,0.0591,,,,,8.5209078,7.71909816,4.57187101,2.58272574,3.44634923
10/1/07,30.7519,0.5287,,0.0921,,,,,6.98453292,8.5209078,7.71909816,4.57187101,2.58272574
11/1/07,30.8752,0.5383,,0.0096,,,,,4.79114602,6.98453292,8.5209078,7.71909816,4.57187101
12/1/07,28.2423,0.4419,,-0.0964,,,,,4.51395424,4.79114602,6.98453292,8.5209078,7.71909816
1/1/08,27.0812,0.3239,,-0.118,,,,,6.85158198,4.51395424,4.79114602,6.98453292,8.5209078
2/1/08,26.4277,0.2944,,-0.0295,,,,,9.76548072,6.85158198,4.51395424,4.79114602,6.98453292
3/1/08,25.8943,0.3533,,0.0589,,,,,10.30944577,9.76548072,6.85158198,4.51395424,4.79114602
4/1/08,28.8993,0.5561,,0.2028,,,,,8.57619216,10.30944577,9.76548072,6.85158198,4.51395424
5/1/08,28.5453,0.5679,,0.0118,,,,,3.71067012,8.57619216,10.30944577,9.76548072,6.85158198
6/1/08,25.4988,0.4167,,-0.1512,,,,,3.32838198,3.71067012,8.57619216,10.30944577,9.76548072
7/1/08,24.1828,0.3296,,-0.0871,,,,,6.82857864,3.32838198,3.71067012,8.57619216,10.30944577
8/1/08,23.5118,0.2993,,-0.0303,,,,,8.58247572,6.82857864,3.32838198,3.71067012,8.57619216
9/1/08,23.9373,0.3502,,0.0509,,,,,9.05674536,8.58247572,6.82857864,3.32838198,3.71067012
10/1/08,28.3823,0.5723,,0.2221,,,,,8.00223939,9.05674536,8.58247572,6.82857864,3.32838198
11/1/08,32.4866,0.6191,,0.0468,,,,,3.18449406,8.00223939,9.05674536,8.58247572,6.82857864
12/1/08,29.0652,0.5239,,-0.0952,,,,,2.12462364,3.18449406,8.00223939,9.05674536,8.58247572
1/1/09,27.7881,0.3565,,-0.1674,,,,,4.66787112,2.12462364,3.18449406,8.00223939,9.05674536
2/1/09,27.5598,0.3426,,-0.0139,,,,,9.1144968,4.66787112,2.12462364,3.18449406,8.00223939
3/1/09,26.4057,0.3493,,0.0067,,,,,9.42269562,9.1144968,4.66787112,2.12462364,3.18449406
4/1/09,30.5502,0.5717,,0.2224,,,,,8.85119064,9.42269562,9.1144968,4.66787112,2.12462364
5/1/09,29.8062,0.5944,,0.0227,,,,,3.44606256,8.85119064,9.42269562,9.1144968,4.66787112
6/1/09,27.0976,0.5515,,-0.0429,,,,,2.68553862,3.44606256,8.85119064,9.42269562,9.1144968
7/1/09,24.9319,0.3777,,-0.1738,,,,,3.6039808,2.68553862,3.44606256,8.85119064,9.42269562
8/1/09,24.0349,0.3073,,-0.0704,,,,,7.64910692,3.6039808,2.68553862,3.44606256,8.85119064
9/1/09,24.133,0.3333,,0.026,,,,,9.06596428,7.64910692,3.6039808,2.68553862,3.44606256
10/1/09,26.4536,0.484,,0.1507,,,,,8.4755096,9.06596428,7.64910692,3.6039808,2.68553862
11/1/09,26.4339,0.503,,0.019,,,,,5.3039468,8.4755096,9.06596428,7.64910692,3.6039808
12/1/09,26.2689,0.445,,-0.058,,,,,4.79775285,5.3039468,8.4755096,9.06596428,7.64910692
1/1/10,26.0662,0.4131,,-0.0319,,,,,6.29140155,4.79775285,5.3039468,8.4755096,9.06596428
2/1/10,25.047,0.347,,-0.0661,,,,,7.07436668,6.29140155,4.79775285,5.3039468,8.4755096
3/1/10,28.9988,0.5294,,0.1824,,,,,8.4533625,7.07436668,6.29140155,4.79775285,5.3039468
4/1/10,33.4231,0.621,,0.0916,,,,,4.49771388,8.4533625,7.07436668,6.29140155,4.79775285
5/1/10,33.6037,0.6193,,-0.0017,,,,,2.12236685,4.49771388,8.4533625,7.07436668,6.29140155
6/1/10,29.8328,0.5503,,-0.069,,,,,2.19096124,2.12236685,4.49771388,8.4533625,7.07436668
7/1/10,27.3542,0.3939,,-0.1564,,,,,4.00356176,2.19096124,2.12236685,4.49771388,8.4533625
8/1/10,26.433,0.3597,,-0.0342,,,,,7.94913052,4.00356176,2.19096124,2.12236685,4.49771388
9/1/10,26.3507,0.3676,,0.0079,,,,,8.5854384,7.94913052,4.00356176,2.19096124,2.12236685
10/1/10,27.2694,0.4839,,0.1163,,,,,8.35053683,8.5854384,7.94913052,4.00356176,2.19096124
11/1/10,26.757,0.5015,,0.0176,,,,,5.47024164,8.35053683,8.5854384,7.94913052,4.00356176
12/1/10,24.926,0.4083,,-0.0932,,,,,4.896531,5.47024164,8.35053683,8.5854384,7.94913052
1/1/11,24.0502,0.3209,,-0.0874,,,,,6.8845612,4.896531,5.47024164,8.35053683,8.5854384
2/1/11,23.6753,0.3021,,-0.0188,,,,,8.74465272,6.8845612,4.896531,5.47024164,8.35053683
3/1/11,23.3425,0.3262,,0.0241,,,,,9.05343472,8.74465272,6.8845612,4.896531,5.47024164
4/1/11,22.0932,0.3826,,0.0564,,,,,8.36361775,9.05343472,8.74465272,6.8845612,4.896531
5/1/11,25.4792,0.4802,,0.0976,,,,,6.66993708,8.36361775,9.05343472,8.74465272,6.8845612
6/1/11,23.5197,0.4586,,-0.0216,,,,,5.20540056,6.66993708,8.36361775,9.05343472,8.74465272
7/1/11,22.3517,0.3614,,-0.0972,,,,,5.31310023,5.20540056,6.66993708,8.36361775,9.05343472
8/1/11,21.7273,0.3277,,-0.0337,,,,,7.22183427,5.31310023,5.20540056,6.66993708,8.36361775
9/1/11,22.4706,0.3633,,0.0356,,,,,7.75230064,7.22183427,5.31310023,5.20540056,6.66993708
10/1/11,25.922,0.4912,,0.1279,,,,,7.21755672,7.75230064,7.22183427,5.31310023,5.20540056
11/1/11,34.9932,0.6437,,0.1525,,,,,5.0107226,7.21755672,7.75230064,7.22183427,5.31310023
12/1/11,35.2151,0.655,,0.0113,,,,,1.42772256,5.0107226,7.21755672,7.75230064,7.22183427
1/1/12,32.3209,0.5365,,-0.1185,,,,,1.03884545,1.42772256,5.0107226,7.21755672,7.75230064
2/1/12,31.2698,0.3665,,-0.17,,,,,4.7834932,1.03884545,1.42772256,5.0107226,7.21755672
3/1/12,30.2941,0.3197,,-0.0468,,,,,9.9437964,4.7834932,1.03884545,1.42772256,5.0107226
4/1/12,33.6125,0.5379,,0.2182,,,,,11.05128768,9.9437964,4.7834932,1.03884545,1.42772256
5/1/12,36.5854,0.6208,,0.0829,,,,,4.9275925,11.05128768,9.9437964,4.7834932,1.03884545
6/1/12,32.0315,0.5604,,-0.0604,,,,,2.33048998,4.9275925,11.05128768,9.9437964,4.7834932
7/1/12,30.257,0.4135,,-0.1469,,,,,3.97510915,2.33048998,4.9275925,11.05128768,9.9437964
8/1/12,29.1931,0.3721,,-0.0414,,,,,8.199647,3.97510915,2.33048998,4.9275925,11.05128768
9/1/12,29.2752,0.382,,0.0099,,,,,9.11992444,8.199647,3.97510915,2.33048998,4.9275925
10/1/12,31.3134,0.5394,,0.1574,,,,,8.855748,9.11992444,8.199647,3.97510915,2.33048998
11/1/12,33.331,0.6021,,0.0627,,,,,4.54357434,8.855748,9.11992444,8.199647,3.97510915
12/1/12,30.8791,0.5591,,-0.043,,,,,2.7464744,4.54357434,8.855748,9.11992444,8.199647
1/1/13,29.3971,0.4199,,-0.1392,,,,,3.87223914,2.7464744,4.54357434,8.855748,9.11992444
2/1/13,28.4413,0.3424,,-0.0775,,,,,7.77847266,3.87223914,2.7464744,4.54357434,8.855748
3/1/13,29.1495,0.3999,,0.0575,,,,,9.72976873,7.77847266,3.87223914,2.7464744,4.54357434
4/1/13,38.8322,0.664,,0.2641,,,,,8.2959477,9.72976873,7.77847266,3.87223914,2.7464744
5/1/13,37.4676,0.6693,,0.0053,,,,,0.7960601,8.2959477,9.72976873,7.77847266,3.87223914
6/1/13,33.4357,0.5148,,-0.1545,,,,,0.56950752,0.7960601,8.2959477,9.72976873,7.77847266
7/1/13,31.1824,0.3244,,-0.1904,,,,,5.67403829,0.56950752,0.7960601,8.2959477,9.72976873
8/1/13,30.4746,0.3563,,0.0319,,,,,11.22878224,5.67403829,0.56950752,0.7960601,8.2959477
9/1/13,30.1901,0.3848,,0.0285,,,,,10.00176372,11.22878224,5.67403829,0.56950752,0.7960601
10/1/13,32.1967,0.5241,,0.1393,,,,,9.04797297,10.00176372,11.22878224,5.67403829,0.56950752
11/1/13,34.6199,0.6233,,0.0992,,,,,5.16435068,9.04797297,10.00176372,11.22878224,5.67403829
12/1/13,31.5164,0.5855,,-0.0378,,,,,2.11873788,5.16435068,9.04797297,10.00176372,11.22878224
1/1/14,29.9633,0.405,,-0.1805,,,,,3.1201236,2.11873788,5.16435068,9.04797297,10.00176372
2/1/14,29.909,0.3363,,-0.0687,,,,,8.37474235,3.1201236,2.11873788,5.16435068,9.04797297
3/1/14,30.1469,0.4907,,0.1544,,,,,10.4143138,8.37474235,3.1201236,2.11873788,5.16435068
4/1/14,31.4776,0.5823,,0.0916,,,,,5.84246922,10.4143138,8.37474235,3.1201236,2.11873788
5/1/14,31.1162,0.5731,,-0.0092,,,,,3.21701072,5.84246922,10.4143138,8.37474235,3.1201236
6/1/14,27.9235,0.4582,,-0.1149,,,,,3.46634468,3.21701072,5.84246922,10.4143138,8.37474235
7/1/14,26.2227,0.2955,,-0.1627,,,,,6.31908805,3.46634468,3.21701072,5.84246922,10.4143138
8/1/14,25.5416,0.3374,,0.0419,,,,,10.2006303,6.31908805,3.46634468,3.21701072,5.84246922
9/1/14,26.3294,0.3997,,0.0623,,,,,8.86548936,10.2006303,6.31908805,3.46634468,3.21701072
10/1/14,28.3432,0.5462,,0.1465,,,,,7.49861312,8.86548936,10.2006303,6.31908805,3.46634468
