DT,SM,NDVI
1/1/03,28.4289,0.5292
2/1/03,27.0522,0.457
3/1/03,26.3718,0.3536
4/1/03,30.3291,0.5453
5/1/03,38.1178,0.6845
6/1/03,34.3692,0.6548
7/1/03,31.3462,0.4935
8/1/03,30.3351,0.4043
9/1/03,30.3801,0.4063
10/1/03,30.4087,0.4202
11/1/03,30.0597,0.4782
12/1/03,29.9906,0.4973
1/1/04,28.6591,0.4547
2/1/04,28.2549,0.4291
3/1/04,27.0647,0.3453
4/1/04,31.7119,0.6262
5/1/04,31.8599,0.6435
6/1/04,27.2462,0.4919
7/1/04,25.2776,0.3626
8/1/04,24.8827,0.3237
9/1/04,24.8221,0.3384
10/1/04,26.7668,0.5395
11/1/04,29.7326,0.6047
12/1/04,28.795,0.5743
1/1/05,27.3567,0.4113
2/1/05,26.8491,0.347
3/1/05,27.6145,0.3997
4/1/05,27.3313,0.4922
5/1/05,33.8204,0.605
6/1/05,32.1248,0.5984
7/1/05,29.0988,0.4413
8/1/05,27.9425,0.3602
9/1/05,27.435,0.3534
10/1/05,28.6812,0.4515
11/1/05,28.7592,0.5141
12/1/05,26.5001,0.4543
1/1/06,25.3954,0.3195
2/1/06,25.0379,0.3134
3/1/06,25.8542,0.4488
4/1/06,31.9193,0.6164
5/1/06,31.943,0.6227
6/1/06,28.2253,0.4952
7/1/06,26.2314,0.3268
8/1/06,26.1925,0.3541
9/1/06,25.7158,0.3638
10/1/06,28.4524,0.5028
11/1/06,33.4835,0.6307
12/1/06,33.2533,0.629
1/1/07,30.9388,0.5056
2/1/07,30.3182,0.3865
3/1/07,29.5002,0.3712
4/1/07,31.5311,0.5752
5/1/07,32.6514,0.6054
6/1/07,30.0979,0.5326
7/1/07,27.6968,0.4058
8/1/07,27.7554,0.3775
9/1/07,28.1748,0.4366
10/1/07,30.7519,0.5287
11/1/07,30.8752,0.5383
12/1/07,28.2423,0.4419
1/1/08,27.0812,0.3239
2/1/08,26.4277,0.2944
3/1/08,25.8943,0.3533
4/1/08,28.8993,0.5561
5/1/08,28.5453,0.5679
6/1/08,25.4988,0.4167
7/1/08,24.1828,0.3296
8/1/08,23.5118,0.2993
9/1/08,23.9373,0.3502
10/1/08,28.3823,0.5723
11/1/08,32.4866,0.6191
12/1/08,29.0652,0.5239
1/1/09,27.7881,0.3565
2/1/09,27.5598,0.3426
3/1/09,26.4057,0.3493
4/1/09,30.5502,0.5717
5/1/09,29.8062,0.5944
6/1/09,27.0976,0.5515
7/1/09,24.9319,0.3777
8/1/09,24.0349,0.3073
9/1/09,24.133,0.3333
10/1/09,26.4536,0.484
11/1/09,26.4339,0.503
12/1/09,26.2689,0.445
1/1/10,26.0662,0.4131
2/1/10,25.047,0.347
3/1/10,28.9988,0.5294
4/1/10,33.4231,0.621
5/1/10,33.6037,0.6193
6/1/10,29.8328,0.5503
7/1/10,27.3542,0.3939
8/1/10,26.433,0.3597
9/1/10,26.3507,0.3676
10/1/10,27.2694,0.4839
11/1/10,26.757,0.5015
12/1/10,24.926,0.4083
1/1/11,24.0502,0.3209
2/1/11,23.6753,0.3021
3/1/11,23.3425,0.3262
4/1/11,22.0932,0.3826
5/1/11,25.4792,0.4802
6/1/11,23.5197,0.4586
7/1/11,22.3517,0.3614
8/1/11,21.7273,0.3277
9/1/11,22.4706,0.3633
10/1/11,25.922,0.4912
11/1/11,34.9932,0.6437
12/1/11,35.2151,0.655
1/1/12,32.3209,0.5365
2/1/12,31.2698,0.3665
3/1/12,30.2941,0.3197
4/1/12,33.6125,0.5379
5/1/12,36.5854,0.6208
6/1/12,32.0315,0.5604
7/1/12,30.257,0.4135
8/1/12,29.1931,0.3721
9/1/12,29.2752,0.382
10/1/12,31.3134,0.5394
11/1/12,33.331,0.6021
12/1/12,30.8791,0.5591
1/1/13,29.3971,0.4199
2/1/13,28.4413,0.3424
3/1/13,29.1495,0.3999
4/1/13,38.8322,0.664
5/1/13,37.4676,0.6693
6/1/13,33.4357,0.5148
7/1/13,31.1824,0.3244
8/1/13,30.4746,0.3563
9/1/13,30.1901,0.3848
10/1/13,32.1967,0.5241
11/1/13,34.6199,0.6233
12/1/13,31.5164,0.5855
1/1/14,29.9633,0.405
2/1/14,29.909,0.3363
3/1/14,30.1469,0.4907
4/1/14,31.4776,0.5823
5/1/14,31.1162,0.5731
6/1/14,27.9235,0.4582
7/1/14,26.2227,0.2955
8/1/14,25.5416,0.3374
9/1/14,26.3294,0.3997
10/1/14,28.3432,0.5462
11/1/14,29.1139,0.5882
