,NDVI ,SM100,SM10,LST,CHIRPS,RefET
Jul-02,0.5553,31.3322,31.8595,27.3614,153.5563,126.1699
Aug-02,0.5974,31.9049,32.3414,27.599,139.881,123.7055
Sep-02,0.6665,32.5972,33.4616,28.2056,136.2606,129.0101
Oct-02,0.6829,32.3189,33.4274,26.9936,91.4473,129.6254
Nov-02,0.67,30.2483,29.1995,29.5977,19.1908,131.2431
Dec-02,0.5831,27.6184,25.4402,28.7879,45.1901,122.3946
Jan-03,0.5602,27.2389,23.244,33.0685,16.8113,145.4857
Feb-03,0.5032,26.0315,19.4645,37.2563,22.5795,156.0673
Mar-03,0.4745,26.4286,24.5081,37.5899,59.151,168.9055
Apr-03,0.5426,28.6628,29.8492,34.2971,152.5263,147.8122
May-03,0.6078,31.0928,30.7881,31.6877,105.3793,150.6717
Jun-03,0.6114,32.6191,34.2074,26.649,161.5812,113.6313
Jul-03,0.583,33.669,33.4905,25.4277,171.3225,112.0731
Aug-03,0.6249,34.6518,34.4348,25.806,172.0273,115.1183
Sep-03,0.6732,35.5866,34.5478,26.9558,162.4686,125.9211
Oct-03,0.6789,33.536,32.6907,27.7911,64.7971,144.3601
Nov-03,0.6531,30.4414,29.2047,29.3237,43.8767,127.1365
Dec-03,0.5998,28.7994,26.6891,31.0633,25.0568,131.8283
Jan-04,0.5319,27.1777,22.259,32.6538,35.7865,139.9452
Feb-04,0.4975,27.0839,22.3192,37.1008,13.7815,154.1724
Mar-04,0.4389,25.7921,19.3901,38.4257,39.0408,175.4493
Apr-04,0.5778,29.7137,32.8662,31.968,147.0924,125.5356
May-04,0.6292,30.847,31.1746,30.276,109.3567,145.6697
Jun-04,0.6054,30.5612,31.1739,27.2271,132.2516,119.3116
Jul-04,0.5768,31.1334,31.2042,27.075,168.3761,120.0115
Aug-04,0.6196,32.6334,33.4459,27.7587,174.5244,126.1883
Sep-04,0.6461,33.2074,33.7626,27.75,162.8608,126.2468
Oct-04,0.7034,33.331,34.1896,27.6729,99.7225,130.1457
Nov-04,0.6923,31.3184,31.5114,27.6743,62.041,123.242
Dec-04,0.6189,29.1115,26.5443,29.8073,19.4228,130.7575
Jan-05,0.5309,27.2064,22.294,34.0461,19.5803,140.5604
Feb-05,0.4635,26.3999,20.4001,38.5614,11.2615,159.2286
Mar-05,0.4968,28.0567,27.0321,35.7621,87.5802,156.4786
Apr-05,0.5341,28.0065,26.5829,34.3228,121.3386,146.2956
May-05,0.6587,34.7967,36.5168,28.4771,193.3106,118.8003
Jun-05,0.6718,35.792,35.357,25.619,149.2095,109.8856
Jul-05,0.5963,34.9949,34.0278,25.2442,167.2167,108.5677
Aug-05,0.6283,34.8506,33.8663,26.8657,150.4296,125.4178
Sep-05,0.6582,34.7551,34.0314,27.6194,157.2578,121.4285
Oct-05,0.6868,33.9745,34.0005,26.2529,93.5094,129.3942
Nov-05,0.6841,31.7005,31.2527,28.4107,38.0378,129.5245
Dec-05,0.6098,28.3106,23.1949,32.8245,6.77,149.8497
Jan-06,0.4937,26.4963,19.6119,35.308,10.7846,155.7097
Feb-06,0.4364,26.0085,20.7264,36.8439,28.6173,145.7039
Mar-06,0.4868,26.7466,24.9379,35.4146,73.223,158.5097
Apr-06,0.5897,31.0325,31.1288,31.7543,141.8688,132.9752
May-06,0.65,33.0579,34.5482,28.7283,154.1994,124.9116
Jun-06,0.652,33.18,33.6323,26.5454,154.2114,114.1891
Jul-06,0.5962,33.5402,33.3729,26.3081,177.9872,108.9503
Aug-06,0.5865,34.4372,34.79,26.2783,180.8089,113.6298
Sep-06,0.6496,34.7867,34.4871,27.0426,155.9727,120.774
Oct-06,0.6896,35.1125,36.0325,25.499,167.399,118.77
Nov-06,0.6977,35.189,34.2899,26.2839,48.6531,119.2473
Dec-06,0.6731,32.9766,30.5176,27.4471,39.7634,120.1972
Jan-07,0.5902,30.2782,23.9485,32.1197,17.8372,136.4023
Feb-07,0.5115,29.5199,24.6828,35.2411,28.738,137.7433
Mar-07,0.4738,28.7703,24.7458,37.2199,66.7807,167.8241
Apr-07,0.6007,31.4881,32.0027,32.1612,145.2418,136.661
May-07,0.6587,33.0389,34.1942,28.2984,161.5123,129.0592
Jun-07,0.658,34.9407,35.7814,25.9541,164.2911,108.288
Jul-07,0.5834,34.393,33.769,25.8881,165.0844,112.6432
Aug-07,0.5773,35.5532,35.8527,25.4781,176.6319,113.7628
Sep-07,0.6674,36.5619,36.3978,26.55,201.1357,112.7352
Oct-07,0.7054,36.3525,35.5349,26.8264,88.977,133.6993
Nov-07,0.6906,32.6663,30.9093,28.5957,35.4953,125.6951
Dec-07,0.5856,28.848,22.5244,32.8001,5.9343,139.7863
Jan-08,0.4797,27.3125,20.9675,35.4623,15.8145,147.2614
Feb-08,0.4277,26.5171,20.13,37.5429,9.7361,158.9904
Mar-08,0.4014,25.4881,19.1739,40.2502,30.1395,181.2403
Apr-08,0.5356,27.74,29.9987,33.1525,139.8925,138.0006
May-08,0.6361,32.2321,34.6605,28.1931,202.6839,128.0541
Jun-08,0.6326,32.8347,33.5576,26.2261,150.0242,115.6539
Jul-08,0.6069,32.9502,33.627,25.7807,185.3346,110.891
Aug-08,0.5996,33.7255,34.2229,26.7535,169.3169,117.2742
Sep-08,0.6531,34.0107,34.5345,27.4849,147.4608,121.0896
Oct-08,0.6913,34.337,35.6699,26.5218,156.1021,120.8368
Nov-08,0.6984,36.1599,35.0272,26.9975,70.9482,115.7111
Dec-08,0.6413,31.4586,26.098,30.5607,10.0498,132.0951
Jan-09,0.5113,29.1991,22.4284,33.1889,27.1282,134.6265
Feb-09,0.4778,28.8371,23.1907,36.3165,17.4794,144.8513
Mar-09,0.457,27.8005,22.7087,38.0498,53.2586,169.1501
Apr-09,0.5862,30.8672,32.4207,31.6453,138.6878,132.7318
May-09,0.6341,31.0226,32.2049,30.3239,106.4545,144.3454
Jun-09,0.6331,31.1756,31.7865,28.9199,153.3523,125.4436
Jul-09,0.5711,31.8374,32.4535,26.6214,139.3966,117.3864
Aug-09,0.5948,32.4949,32.5559,27.7257,168.4774,126.8715
Sep-09,0.6308,32.5753,33.0125,28.2587,130.6081,129.4829
Oct-09,0.694,34.0788,35.0977,26.9971,136.4253,119.7401
Nov-09,0.684,31.3321,29.5523,29.5276,25.2602,129.0574
Dec-09,0.5923,29.4449,28.3627,29.3534,34.927,119.1076
Jan-10,0.5285,28.0384,24.0335,33.7417,18.4991,141.4226
Feb-10,0.4648,27.4999,23.1771,35.4342,48.0829,126.187
Mar-10,0.5389,30.3015,28.1567,33.6206,99.2974,141.935
Apr-10,0.5783,32.3365,31.2898,32.0889,144.0153,127.3808
May-10,0.6416,36.8187,37.7823,27.5572,202.2114,113.5174
Jun-10,0.6512,36.7084,35.8878,26.1418,149.651,110.3266
Jul-10,0.6009,35.5475,34.3864,25.8565,169.0172,107.0305
Aug-10,0.5741,35.8454,34.9936,26.2956,159.666,111.3216
Sep-10,0.6546,36.406,35.794,26.8379,148.5763,118.0213
