,NDVI ,SM100,SM10,CHIRTSmax,LST,CHIRPS
Jul-02,0.5553,31.3322,31.8595,25.12,27.3614,153.5563
Aug-02,0.5974,31.9049,32.3414,24.1073,27.599,139.881
Sep-02,0.6665,32.5972,33.4616,25.4961,28.2056,136.2606
Oct-02,0.6829,32.3189,33.4274,25.4535,26.9936,91.4473
Nov-02,0.67,30.2483,29.1995,26.8379,29.5977,19.1908
Dec-02,0.5831,27.6184,25.4402,25.5008,28.7879,45.1901
Jan-03,0.5602,27.2389,23.244,27.9924,33.0685,16.8113
Feb-03,0.5032,26.0315,19.4645,29.2721,37.2563,22.5795
Mar-03,0.4745,26.4286,24.5081,28.8953,37.5899,59.151
Apr-03,0.5426,28.6628,29.8492,28.3201,34.2971,152.5263
May-03,0.6078,31.0928,30.7881,27.5984,31.6877,105.3793
Jun-03,0.6114,32.6191,34.2074,25.3387,26.649,161.5812
Jul-03,0.583,33.669,33.4905,24.5493,25.4277,171.3225
Aug-03,0.6249,34.6518,34.4348,24.3823,25.806,172.0273
Sep-03,0.6732,35.5866,34.5478,25.4071,26.9558,162.4686
Oct-03,0.6789,33.536,32.6907,26.6677,27.7911,64.7971
Nov-03,0.6531,30.4414,29.2047,26.3493,29.3237,43.8767
Dec-03,0.5998,28.7994,26.6891,27.0674,31.0633,25.0568
Jan-04,0.5319,27.1777,22.259,27.6958,32.6538,35.7865
Feb-04,0.4975,27.0839,22.3192,26.0421,37.1008,13.7815
Mar-04,0.4389,25.7921,19.3901,29.1426,38.4257,39.0408
Apr-04,0.5778,29.7137,32.8662,25.2199,31.968,147.0924
May-04,0.6292,30.847,31.1746,27.6473,30.276,109.3567
Jun-04,0.6054,30.5612,31.1739,25.5413,27.2271,132.2516
Jul-04,0.5768,31.1334,31.2042,25.0047,27.075,168.3761
Aug-04,0.6196,32.6334,33.4459,24.9384,27.7587,174.5244
Sep-04,0.6461,33.2074,33.7626,25.4766,27.75,162.8608
Oct-04,0.7034,33.331,34.1896,26.2041,27.6729,99.7225
Nov-04,0.6923,31.3184,31.5114,26.0304,27.6743,62.041
Dec-04,0.6189,29.1115,26.5443,26.6865,29.8073,19.4228
Jan-05,0.5309,27.2064,22.294,27.8731,34.0461,19.5803
Feb-05,0.4635,26.3999,20.4001,29.4355,38.5614,11.2615
Mar-05,0.4968,28.0567,27.0321,27.8645,35.7621,87.5802
Apr-05,0.5341,28.0065,26.5829,28.1849,34.3228,121.3386
May-05,0.6587,34.7967,36.5168,25.8202,28.4771,193.3106
Jun-05,0.6718,35.792,35.357,24.9083,25.619,149.2095
Jul-05,0.5963,34.9949,34.0278,24.2776,25.2442,167.2167
Aug-05,0.6283,34.8506,33.8663,24.8751,26.8657,150.4296
Sep-05,0.6582,34.7551,34.0314,25.3367,27.6194,157.2578
Oct-05,0.6868,33.9745,34.0005,25.8788,26.2529,93.5094
Nov-05,0.6841,31.7005,31.2527,26.129,28.4107,38.0378
Dec-05,0.6098,28.3106,23.1949,27.1893,32.8245,6.77
Jan-06,0.4937,26.4963,19.6119,28.6918,35.308,10.7846
Feb-06,0.4364,26.0085,20.7264,29.2179,36.8439,28.6173
Mar-06,0.4868,26.7466,24.9379,28.0106,35.4146,73.223
Apr-06,0.5897,31.0325,31.1288,27.7175,31.7543,141.8688
May-06,0.65,33.0579,34.5482,26.4406,28.7283,154.1994
Jun-06,0.652,33.18,33.6323,25.7189,26.5454,154.2114
Jul-06,0.5962,33.5402,33.3729,24.72,26.3081,177.9872
Aug-06,0.5865,34.4372,34.79,24.2526,26.2783,180.8089
Sep-06,0.6496,34.7867,34.4871,25.3267,27.0426,155.9727
Oct-06,0.6896,35.1125,36.0325,25.9398,25.499,167.399
Nov-06,0.6977,35.189,34.2899,25.9281,26.2839,48.6531
Dec-06,0.6731,32.9766,30.5176,26.2183,27.4471,39.7634
Jan-07,0.5902,30.2782,23.9485,27.1432,32.1197,17.8372
Feb-07,0.5115,29.5199,24.6828,28.1313,35.2411,28.738
Mar-07,0.4738,28.7703,24.7458,28.6323,37.2199,66.7807
Apr-07,0.6007,31.4881,32.0027,27.8036,32.1612,145.2418
May-07,0.6587,33.0389,34.1942,26.7847,28.2984,161.5123
Jun-07,0.658,34.9407,35.7814,24.9453,25.9541,164.2911
Jul-07,0.5834,34.393,33.769,24.311,25.8881,165.0844
Aug-07,0.5773,35.5532,35.8527,24.3198,25.4781,176.6319
Sep-07,0.6674,36.5619,36.3978,25.0525,26.55,201.1357
Oct-07,0.7054,36.3525,35.5349,26.1452,26.8264,88.977
Nov-07,0.6906,32.6663,30.9093,26.5923,28.5957,35.4953
Dec-07,0.5856,28.848,22.5244,27.6331,32.8001,5.9343
Jan-08,0.4797,27.3125,20.9675,28.3802,35.4623,15.8145
Feb-08,0.4277,26.5171,20.13,28.5749,37.5429,9.7361
Mar-08,0.4014,25.4881,19.1739,29.4151,40.2502,30.1395
Apr-08,0.5356,27.74,29.9987,27.2431,33.1525,139.8925
May-08,0.6361,32.2321,34.6605,26.4784,28.1931,202.6839
Jun-08,0.6326,32.8347,33.5576,24.5516,26.2261,150.0242
Jul-08,0.6069,32.9502,33.627,24.3828,25.7807,185.3346
Aug-08,0.5996,33.7255,34.2229,24.7037,26.7535,169.3169
Sep-08,0.6531,34.0107,34.5345,25.9687,27.4849,147.4608
Oct-08,0.6913,34.337,35.6699,25.7853,26.5218,156.1021
Nov-08,0.6984,36.1599,35.0272,25.8183,26.9975,70.9482
Dec-08,0.6413,31.4586,26.098,26.4814,30.5607,10.0498
Jan-09,0.5113,29.1991,22.4284,27.7417,33.1889,27.1282
Feb-09,0.4778,28.8371,23.1907,28.6626,36.3165,17.4794
Mar-09,0.457,27.8005,22.7087,28.2887,38.0498,53.2586
Apr-09,0.5862,30.8672,32.4207,28.3282,31.6453,138.6878
May-09,0.6341,31.0226,32.2049,27.3538,30.3239,106.4545
Jun-09,0.6331,31.1756,31.7865,26.6164,28.9199,153.3523
Jul-09,0.5711,31.8374,32.4535,25.2853,26.6214,139.3966
Aug-09,0.5948,32.4949,32.5559,25.4919,27.7257,168.4774
Sep-09,0.6308,32.5753,33.0125,26.3594,28.2587,130.6081
Oct-09,0.694,34.0788,35.0977,25.952,26.9971,136.4253
Nov-09,0.684,31.3321,29.5523,26.8254,29.5276,25.2602
Dec-09,0.5923,29.4449,28.3627,26.1152,29.3534,34.927
Jan-10,0.5285,28.0384,24.0335,28.23,33.7417,18.4991
Feb-10,0.4648,27.4999,23.1771,28.5333,35.4342,48.0829
Mar-10,0.5389,30.3015,28.1567,27.1542,33.6206,99.2974
Apr-10,0.5783,32.3365,31.2898,28.0562,32.0889,144.0153
May-10,0.6416,36.8187,37.7823,26.1607,27.5572,202.2114
Jun-10,0.6512,36.7084,35.8878,25.8087,26.1418,149.651
Jul-10,0.6009,35.5475,34.3864,24.2291,25.8565,169.0172
Aug-10,0.5741,35.8454,34.9936,24.1985,26.2956,159.666
Sep-10,0.6546,36.406,35.794,24.9767,26.8379,148.5763
Oct-10,0.6754,34.3525,33.8947,26.4512,27.4588,64.8504
Nov-10,0.6626,31.0921,29.6751,26.375,28.8013,28.0162
Dec-10,0.5822,28.1605,24.5826,26.7072,31.6704,15.0145
Jan-11,0.5016,26.8053,22.765,27.7554,33.9699,11.9278
Feb-11,0.4486,25.866,20.5029,28.9674,39.0205,11.8451
Mar-11,0.4212,25.7154,22.7598,28.657,38.5955,35.5196
Apr-11,0.4648,25.1646,23.6575,29.7575,37.3924,80.8752
May-11,0.5718,30.1435,33.9374,26.667,30.3877,198.2556
Jun-11,0.6137,33.194,34.4313,25.4177,26.4234,162.1951
Jul-11,0.6198,33.6511,34.6234,25.8557,26.686,175.8742
Aug-11,0.6045,34.3215,34.7229,24.7587,26.464,179.3208
Sep-11,0.6694,35.4251,35.6626,24.9223,26.6161,169.3696
Oct-11,0.6873,34.0022,34.3767,26.0237,27.8133,85.7666
Nov-11,0.6735,34.3059,34.3787,25.1039,26.572,98.7781
Dec-11,0.6407,31.4568,27.3168,26.7084,30.3813,12.5731
Jan-12,0.5289,28.7959,20.4915,28.3849,34.805,8.4479
Feb-12,0.4291,27.5076,17.9573,29.3119,38.6421,7.6841
Mar-12,0.3866,26.806,20.874,28.463,39.6688,32.5621
Apr-12,0.5105,29.3755,30.8069,28.4275,33.8436,150.1951
May-12,0.6187,33.0577,34.7328,27.0842,29.6335,157.2438
Jun-12,0.615,32.9646,33.1687,26.1685,26.7363,137.2318
Jul-12,0.5983,34.0468,34.4795,24.6029,25.9603,174.6346
Aug-12,0.6188,35.1227,34.7692,24.7816,26.9466,191.471
Sep-12,0.666,36.3998,35.9462,25.6468,26.8401,178.9351
Oct-12,0.6955,34.6756,34.4518,26.1242,27.6929,90.487
Nov-12,0.6838,33.9954,33.3986,26.1078,27.7063,55.9591
Dec-12,0.6253,30.3812,26.8362,26.6621,30.781,14.9666
Jan-13,0.5258,28.4316,23.0951,28.1981,33.7701,16.6292
Feb-13,0.4462,27.4128,20.8095,29.5092,38.6425,11.5848
Mar-13,0.4373,27.5091,23.5833,28.1003,36.2838,95.0978
Apr-13,0.5641,32.8431,32.2929,27.6864,32.8932,148.041
May-13,0.623,35.8797,36.6785,26.4957,28.0997,188.5621
Jun-13,0.6166,35.9115,35.9199,25.2529,25.4556,135.3358
Jul-13,0.5546,36.042,35.5404,24.1229,25.0892,176.3904
Aug-13,0.6213,36.674,35.6663,24.0176,26.3134,173.655
Sep-13,0.6558,36.8151,35.6883,25.9839,27.3839,145.5875
Oct-13,0.698,37.031,36.7208,25.6985,25.7392,132.5245
Nov-13,0.7069,35.7454,35.1932,25.5571,26.188,75.0581
Dec-13,0.6575,32.0167,26.9888,27.0787,30.8611,6.3504
Jan-14,0.5252,29.66,22.2529,28.4463,34.1372,10.9861
Feb-14,0.447,28.8452,22.467,28.5574,36.2005,20.5576
Mar-14,0.5183,29.7574,28.1156,28.5161,35.8531,100.5658
Apr-14,0.6267,32.3431,32.8585,27.8219,30.5573,136.8186
May-14,0.6693,34.7765,36.2966,26.4794,27.7338,205.0169
Jun-14,0.6592,33.5723,33.184,26.127,27.4683,105.4118
Jul-14,0.5638,32.9021,33.2702,24.9622,27.0498,138.1896
Aug-14,0.5899,33.4579,33.8799,25.1468,27.1032,169.5054
