DT,SM,NDVI
2003-01-01,24.6761,0.6432
2003-02-01,23.0337,0.5865
2003-03-01,21.9086,0.4665
2003-04-01,27.776,0.6338
2003-05-01,36.3487,0.7599
2003-06-01,32.7283,0.7393
2003-07-01,27.8346,0.6376
2003-08-01,26.1251,0.5931
2003-09-01,26.9341,0.6117
2003-10-01,27.2118,0.6611
2003-11-01,25.3454,0.6654
2003-12-01,26.2142,0.6539
2004-01-01,24.4686,0.5932
2004-02-01,24.2727,0.556
2004-03-01,22.6922,0.4811
2004-04-01,28.8417,0.7268
2004-05-01,30.8904,0.7565
2004-06-01,25.160999999999998,0.6748
2004-07-01,22.5311,0.5743
2004-08-01,22.2671,0.5252
2004-09-01,22.5383,0.5348
2004-10-01,25.631,0.6958
2004-11-01,26.8711,0.7283
2004-12-01,25.7944,0.7051
2005-01-01,23.5356,0.5753
2005-02-01,22.8622,0.5031
2005-03-01,25.2615,0.5643
2005-04-01,25.6503,0.6247
2005-05-01,35.0037,0.7659
2005-06-01,33.359,0.7572
2005-07-01,28.430999999999997,0.5727
2005-08-01,26.3144,0.5726
2005-09-01,25.7853,0.5795
2005-10-01,26.8351,0.711
2005-11-01,27.2114,0.7426
2005-12-01,24.2114,0.6682
2006-01-01,22.4275,0.5253
2006-02-01,21.844,0.45799999999999996
2006-03-01,23.2184,0.6009
2006-04-01,31.1678,0.7563
2006-05-01,32.9483,0.7674
2006-06-01,28.7414,0.7061
2006-07-01,25.956,0.5469
2006-08-01,25.4543,0.5198
2006-09-01,24.9716,0.5673
2006-10-01,28.3666,0.7182
2006-11-01,30.7366,0.757
2006-12-01,29.5879,0.7474
2007-01-01,26.5587,0.6285
2007-02-01,25.6225,0.5181
2007-03-01,24.8038,0.4756
2007-04-01,28.5527,0.6896
2007-05-01,32.7814,0.7443
2007-06-01,30.997,0.721
2007-07-01,27.3749,0.6358
2007-08-01,26.5013,0.5015
2007-09-01,27.3259,0.6293
2007-10-01,31.3944,0.7381
2007-11-01,29.1986,0.7353
2007-12-01,25.3924,0.6212
2008-01-01,23.6952,0.4748
2008-02-01,22.8964,0.4186
2008-03-01,21.9462,0.4217
2008-04-01,24.8864,0.6455
2008-05-01,29.0558,0.6906
2008-06-01,26.4567,0.5938
2008-07-01,23.9851,0.5279
2008-08-01,22.8713,0.4487
2008-09-01,23.3733,0.5582
2008-10-01,28.4836,0.7185
2008-11-01,34.4455,0.7476
2008-12-01,28.6068,0.677
2009-01-01,26.09,0.5154
2009-02-01,25.8341,0.4983
2009-03-01,24.0272,0.4648
2009-04-01,29.8692,0.6849
2009-05-01,31.7697,0.7482
2009-06-01,29.006999999999998,0.7305
2009-07-01,25.5639,0.5702
2009-08-01,23.6527,0.4875
2009-09-01,23.5922,0.531
2009-10-01,27.7735,0.7267
2009-11-01,26.4829,0.737
2009-12-01,25.5197,0.6618
2010-01-01,24.2891,0.5472
2010-02-01,23.3148,0.4769
2010-03-01,29.633000000000003,0.6734
2010-04-01,34.0722,0.737
2010-05-01,36.1257,0.7285
2010-06-01,32.5982,0.6788
2010-07-01,28.7649,0.5518
2010-08-01,26.901999999999997,0.5239
2010-09-01,26.8056,0.5629
2010-10-01,26.701999999999998,0.6851
2010-11-01,25.6733,0.7009
2010-12-01,23.0595,0.5992
2011-01-01,21.7599,0.4707
2011-02-01,21.0543,0.4125
2011-03-01,20.5911,0.4066
2011-04-01,19.7057,0.4777
2011-05-01,29.8246,0.6716
2011-06-01,28.0154,0.6691
2011-07-01,25.8833,0.6056
2011-08-01,24.5131,0.5509
2011-09-01,25.4375,0.565
2011-10-01,26.9551,0.6885
2011-11-01,33.9869,0.741
2011-12-01,32.1697,0.7414
2012-01-01,28.0029,0.6126
2012-02-01,26.1239,0.4692
2012-03-01,24.7738,0.4106
2012-04-01,30.669,0.6569
2012-05-01,35.6415,0.7438
2012-06-01,31.4048,0.7043
2012-07-01,28.1082,0.6046
2012-08-01,26.5484,0.5836
2012-09-01,26.7695,0.5721
2012-10-01,28.057,0.7223
2012-11-01,31.0229,0.7523
2012-12-01,27.1541,0.7233
2013-01-01,25.0116,0.5797
2013-02-01,23.8766,0.4643
2013-03-01,24.8118,0.5036
2013-04-01,37.4256,0.7429
2013-05-01,38.4765,0.7486
2013-06-01,34.0151,0.6334
2013-07-01,30.5248,0.4715
