DT,SM,NDVI,,_ NDVI,,max NDVI,min NDVI,,NDVImax -NDVIt-1)*ln(SMt-1),t-2,t-3,t-4,t-5
1/1/03,24.6761,0.6432,,,,0.6432,0.6432,,,,,,
2/1/03,23.0337,0.5865,,-0.0567,,,,,0.077246022,,,,
3/1/03,21.9086,0.4665,,-0.12,,,,,3.87124962,0.077246022,,,
4/1/03,27.776,0.6338,,0.1673,,,,,0.2610944,3.87124962,0.077246022,,
5/1/03,36.3487,0.7599,,0.1261,,,,,-4.24189329,0.2610944,3.87124962,0.077246022,
6/1/03,32.7283,0.7393,,-0.0206,,,,,-3.14518963,-4.24189329,0.2610944,3.87124962,0.077246022
7/1/03,27.8346,0.6376,,-0.1017,,,,,0.15587376,-3.14518963,-4.24189329,0.2610944,3.87124962
8/1/03,26.1251,0.5931,,-0.0445,,,,,1.30886751,0.15587376,-3.14518963,-4.24189329,0.2610944
9/1/03,26.9341,0.6117,,0.0186,,,,,0.84842415,1.30886751,0.15587376,-3.14518963,-4.24189329
10/1/03,27.2118,0.6611,,0.0494,,,,,-0.48709122,0.84842415,1.30886751,0.15587376,-3.14518963
11/1/03,25.3454,0.6654,,0.0043,,,,,-0.56266788,-0.48709122,0.84842415,1.30886751,0.15587376
12/1/03,26.2142,0.6539,,-0.0115,,,,,-0.28049194,-0.56266788,-0.48709122,0.84842415,1.30886751
1/1/04,24.4686,0.5932,,-0.0607,,,,,1.22343,-0.28049194,-0.56266788,-0.48709122,0.84842415
2/1/04,24.2727,0.556,,-0.0372,,,,,2.11657944,1.22343,-0.28049194,-0.56266788,-0.48709122
3/1/04,22.6922,0.4811,,-0.0749,,,,,3.67840562,2.11657944,1.22343,-0.28049194,-0.56266788
4/1/04,28.8417,0.7268,,0.2457,,,,,-2.41116612,3.67840562,2.11657944,1.22343,-0.28049194
5/1/04,30.8904,0.7565,,0.0297,,,,,-3.49988232,-2.41116612,3.67840562,2.11657944,1.22343
6/1/04,25.161,0.6748,,-0.0817,,,,,-0.7950876,-3.49988232,-2.41116612,3.67840562,2.11657944
7/1/04,22.5311,0.5743,,-0.1005,,,,,1.55239279,-0.7950876,-3.49988232,-2.41116612,3.67840562
8/1/04,22.2671,0.5252,,-0.0491,,,,,2.6275178,1.55239279,-0.7950876,-3.49988232,-2.41116612
