DT,NDVI,P,ET,LST
2003-01-10,0.4875,8.065,40.5932,28.7854
2003-01-20,0.502,9.0852,43.7605,31.3848
2003-01-31,0.4976,13.2429,49.5824,29.9163
2003-02-10,0.4783,4.7356,52.2381,33.3835
2003-02-20,0.4526,4.9685,53.285,34.3234
2003-02-28,0.4281,6.9698,41.3468,34.6541
2003-03-10,0.4128,17.1994,56.9056,36.5532
2003-03-20,0.4111,31.1745,48.8055,34.7041
2003-03-31,0.4199,30.6845,47.4234,32.0145
2003-04-10,0.4373,24.3416,57.8068,35.8609
2003-04-20,0.4526,67.664,34.1902,29.3399
2003-04-30,0.4668,69.9949,31.4865,24.0656
2003-05-10,0.485,19.512999999999998,44.3597,27.2539
2003-05-20,0.5029,20.215999999999998,44.143,28.0182
2003-05-31,0.509,20.3788,49.3284,29.241
2003-06-10,0.49200000000000005,36.1117,42.2399,27.8304
2003-06-20,0.4638,33.7092,34.5269,25.982
2003-06-30,0.4372,34.9606,30.8472,23.9047
2003-07-10,0.4196,45.8341,31.6897,22.2594
2003-07-20,0.4206,37.2244,31.2421,21.084
2003-07-31,0.4441,72.1344,31.9792,21.6934
2003-08-10,0.4764,31.0489,32.4125,21.7977
2003-08-20,0.5085,55.2113,31.6532,22.2106
2003-08-31,0.5343,56.5404,34.9497,22.2854
2003-09-10,0.5546,45.4885,35.5718,22.1704
2003-09-20,0.5698,36.0861,36.3987,22.6532
2003-09-30,0.5758,47.0344,36.163000000000004,22.2349
2003-10-10,0.5819,15.0082,37.9165,23.8161
2003-10-20,0.581,16.0755,40.3747,24.7547
2003-10-31,0.5688,16.0212,52.158,26.1325
2003-11-10,0.5434,8.5918,38.2866,26.4143
2003-11-20,0.5175,6.2644,40.2604,26.8615
2003-11-30,0.4972,13.1875,39.6631,28.4228
2003-12-10,0.4889,20.4252,34.617,24.811
2003-12-20,0.4856,7.1158,41.1653,29.1752
2003-12-31,0.4768,9.025,47.6845,31.0991
2004-01-10,0.4615,8.2299,45.2248,32.0767
2004-01-20,0.4505,20.0857,35.4826,28.9188
2004-01-31,0.4551,21.1998,43.2905,28.1852
2004-02-10,0.4681,8.4557,38.6778,27.1048
2004-02-20,0.4738,4.4416,51.5516,35.5048
2004-02-28,0.4645,4.9192,47.5884,35.119
2004-03-10,0.4454,13.6037,57.3942,35.3651
2004-03-20,0.4286,18.6358,43.2657,31.944000000000003
2004-03-31,0.4301,18.0171,56.2696,35.6412
2004-04-10,0.4528,49.8621,35.3022,28.0791
2004-04-20,0.4867,52.6575,31.372,25.0174
2004-04-30,0.5186,32.5866,42.0428,28.6784
2004-05-10,0.5337,23.6408,45.4988,29.5029
2004-05-20,0.5193,11.3413,50.8673,30.1403
2004-05-31,0.4752,17.7216,47.0442,28.4516
2004-06-10,0.4231,21.4998,35.3836,26.753
2004-06-20,0.3841,32.1809,31.6375,26.6368
2004-06-30,0.3687,24.4098,37.0975,25.0058
2004-07-10,0.381,21.4631,34.8207,23.0841
2004-07-20,0.4053,51.6799,31.6909,23.8438
2004-07-31,0.4382,61.6096,34.5613,22.5052
2004-08-10,0.4685,35.7712,33.8841,24.0099
2004-08-20,0.4973,39.0185,34.5384,22.6105
2004-08-31,0.5185,45.0704,43.0321,22.6673
2004-09-10,0.5282,46.7052,38.2402,23.2687
2004-09-20,0.5382,34.2472,37.3488,22.9229
2004-09-30,0.5562,42.5138,35.3317,23.2168
2004-10-10,0.5877,26.7514,33.693000000000005,22.3372
2004-10-20,0.6121,28.27,36.7656,24.4947
2004-10-31,0.6091,25.0547,49.7505,27.1657
2004-11-10,0.5738,8.3321,41.952,26.8179
2004-11-20,0.5339,9.8517,41.0149,26.7094
2004-11-30,0.5023,14.7323,39.4817,26.5941
2004-12-10,0.4863,6.6679,40.8108,28.6329
2004-12-20,0.4752,4.8132,43.3989,29.4246
2004-12-31,0.4644,8.9184,42.6057,28.7305
2005-01-10,0.4557,11.4743,45.1434,34.842
2005-01-20,0.44799999999999995,7.6714,37.4517,29.3328
2005-01-31,0.4432,17.384,44.0981,29.311999999999998
2005-02-10,0.4377,3.8914,50.7951,34.352
2005-02-20,0.4274,5.2993,56.1555,35.2367
2005-02-28,0.4206,7.9444,40.7625,36.4025
2005-03-10,0.4254,32.3871,36.0745,29.153000000000002
2005-03-20,0.4439,33.9247,38.580999999999996,30.5905
2005-03-31,0.46299999999999997,21.7958,56.5203,33.8056
2005-04-10,0.4683,22.1219,58.6773,36.2142
2005-04-20,0.444,55.8034,41.1724,30.4975
2005-04-30,0.4249,72.1967,30.5388,25.6701
2005-05-10,0.4351,81.0029,30.2239,23.0599
2005-05-20,0.4807,35.3095,33.1363,24.1301
2005-05-31,0.5268,36.5882,38.2588,25.0313
2005-06-10,0.5428,22.7205,35.9947,26.6252
2005-06-20,0.5177,22.9189,33.7907,25.326999999999998
2005-06-30,0.4713,29.8561,31.6566,22.8932
2005-07-10,0.4406,34.2024,29.8513,24.168000000000003
2005-07-20,0.4385,45.7869,31.6143,22.9937
2005-07-31,0.4612,63.8898,32.772,21.6381
2005-08-10,0.4948,36.5185,33.788000000000004,21.6937
2005-08-20,0.5271,31.0315,35.0161,22.7079
2005-08-31,0.5488,42.06399999999999,39.3494,22.2983
2005-09-10,0.5652,34.3516,33.5617,23.3384
2005-09-20,0.5807,45.8882,31.9208,22.5378
2005-09-30,0.5964,36.8552,36.8527,24.2705
2005-10-10,0.6009,21.2709,32.6677,22.6915
2005-10-20,0.5911,22.7449,36.8241,25.0799
2005-10-31,0.5735,24.2404,40.0126,25.0967
2005-11-10,0.5551,4.914,40.8097,27.7285
2005-11-20,0.5383,18.930999999999997,33.9805,26.7338
2005-11-30,0.5213,6.2085,44.1547,27.0575
2005-12-10,0.4992,3.1979,42.3363,28.3075
2005-12-20,0.47200000000000003,2.9349,47.0465,32.4124
2005-12-31,0.4452,4.5909,52.2255,32.8687
2006-01-10,0.4222,5.2686,45.4197,31.8059
2006-01-20,0.4075,4.2539,47.0239,31.203000000000003
2006-01-31,0.3977,4.8059,51.9069,35.0173
2006-02-10,0.3898,3.168,48.9227,35.8637
2006-02-20,0.3782,10.79,45.7492,36.2268
2006-02-28,0.3711,16.6614,31.4778,30.5032
2006-03-10,0.3715,8.4248,44.9583,32.5978
2006-03-20,0.3875,22.4869,41.7967,30.4035
2006-03-31,0.4186,50.388999999999996,46.1532,29.2147
2006-04-10,0.4578,81.6742,34.7666,25.1896
2006-04-20,0.4926,42.6615,42.729,29.8794
2006-04-30,0.5081,55.4101,36.0252,26.2112
