DT,SM,NDVI
2003-01-01,23.6361,0.502
2003-02-01,22.105999999999998,0.4783
2003-03-01,21.9428,0.4199
2003-04-01,25.361,0.4668
2003-05-01,28.1846,0.509
2003-06-01,26.2115,0.49200000000000005
2003-07-01,28.7906,0.4441
2003-08-01,32.9066,0.5343
2003-09-01,34.649,0.5758
2003-10-01,31.3925,0.5819
2003-11-01,25.8246,0.5434
2003-12-01,25.0899,0.4889
2004-01-01,23.6999,0.4615
2004-02-01,23.8132,0.4738
2004-03-01,22.1069,0.4454
2004-04-01,26.1228,0.5186
2004-05-01,26.006999999999998,0.5337
2004-06-01,24.0715,0.4231
2004-07-01,25.6768,0.4382
2004-08-01,30.0567,0.5185
2004-09-01,31.2873,0.5562
2004-10-01,30.3619,0.6121
2004-11-01,25.7662,0.5738
2004-12-01,23.6405,0.4863
2005-01-01,22.405,0.4557
2005-02-01,21.837,0.4377
2005-03-01,24.0134,0.46299999999999997
2005-04-01,24.5264,0.4683
2005-05-01,33.168,0.5268
2005-06-01,30.4587,0.5428
2005-07-01,32.3119,0.4612
2005-08-01,34.4402,0.5488
2005-09-01,33.8302,0.5964
2005-10-01,31.4622,0.6009
2005-11-01,28.4723,0.5551
2005-12-01,25.0321,0.4992
2006-01-01,22.9347,0.4222
2006-02-01,21.9928,0.3898
2006-03-01,22.8808,0.4186
2006-04-01,28.8403,0.5081
2006-05-01,30.4082,0.5198
2006-06-01,28.6398,0.5081
2006-07-01,32.0788,0.4748
2006-08-01,34.7665,0.4942
2006-09-01,35.4025,0.5524
2006-10-01,34.1981,0.5415
2006-11-01,31.8067,0.5264
2006-12-01,28.7669,0.515
2007-01-01,26.2855,0.4877
2007-02-01,26.3143,0.4786
2007-03-01,24.804000000000002,0.4643
2007-04-01,27.1157,0.4699
2007-05-01,27.4018,0.4831
2007-06-01,30.563000000000002,0.4811
2007-07-01,32.0512,0.4826
2007-08-01,36.5843,0.4996
2007-09-01,38.9324,0.5731
2007-10-01,36.2836,0.5978
2007-11-01,30.5881,0.5778
2007-12-01,26.5283,0.496
2008-01-01,24.605,0.4134
2008-02-01,23.3004,0.3771
2008-03-01,21.3869,0.3437
2008-04-01,22.1519,0.3209
2008-05-01,25.349,0.39399999999999996
2008-06-01,27.7599,0.4563
2008-07-01,31.1847,0.4773
2008-08-01,35.0306,0.5416
2008-09-01,35.5514,0.5979
2008-10-01,33.5482,0.5977
2008-11-01,34.8485,0.6041
2008-12-01,29.8376,0.5661
2009-01-01,27.5353,0.4532
2009-02-01,26.776999999999997,0.4463
2009-03-01,24.0904,0.4307
2009-04-01,27.2102,0.4616
2009-05-01,25.8084,0.4803
2009-06-01,23.8926,0.4765
2009-07-01,25.6614,0.4123
2009-08-01,28.666999999999998,0.5341
2009-09-01,29.2985,0.599
2009-10-01,29.4073,0.6112
2009-11-01,26.2243,0.5862
2009-12-01,25.6671,0.4715
2010-01-01,25.1045,0.4881
2010-02-01,25.1345,0.4776
2010-03-01,27.6229,0.5411
2010-04-01,30.9331,0.5489999999999999
2010-05-01,34.1619,0.5366
2010-06-01,33.6809,0.5387
2010-07-01,33.3778,0.498
2010-08-01,36.4557,0.4829
2010-09-01,37.9833,0.5699
2010-10-01,34.1544,0.59
2010-11-01,29.1568,0.5628
2010-12-01,25.5965,0.4976
2011-01-01,24.3266,0.4505
2011-02-01,23.0892,0.4181
2011-03-01,22.7686,0.3909
2011-04-01,21.0176,0.3926
2011-05-01,26.2458,0.4218
2011-06-01,29.3185,0.478
2011-07-01,31.5934,0.5069
2011-08-01,35.2144,0.5354
2011-09-01,36.8812,0.606
2011-10-01,33.1588,0.6168
2011-11-01,30.5558,0.546
2011-12-01,27.2037,0.513
2012-01-01,24.6533,0.4331
2012-02-01,23.0005,0.363
2012-03-01,21.5813,0.3382
2012-04-01,26.1512,0.428
2012-05-01,27.7745,0.4958
2012-06-01,25.2795,0.4799
2012-07-01,28.581,0.4993
2012-08-01,32.6002,0.5481
2012-09-01,35.9497,0.5842
2012-10-01,32.5021,0.6109
2012-11-01,29.7249,0.5632
2012-12-01,26.096,0.4937
2013-01-01,24.4732,0.4403
2013-02-01,23.2188,0.3926
2013-03-01,22.6899,0.3736
2013-04-01,28.2997,0.4782
2013-05-01,30.5011,0.5004
2013-06-01,30.4235,0.4719
2013-07-01,33.9889,0.4467
2013-08-01,36.9962,0.5449
2013-09-01,37.8122,0.5722
2013-10-01,35.8996,0.5669
2013-11-01,32.2545,0.5732
2013-12-01,28.6259,0.5349
2014-01-01,26.3205,0.4439
2014-02-01,25.7836,0.4278
2014-03-01,25.7273,0.45299999999999996
2014-04-01,27.4541,0.4526
2014-05-01,28.9372,0.4881
2014-06-01,27.9432,0.4952
2014-07-01,28.3144,0.4617
2014-08-01,31.3956,0.5255
2014-09-01,36.1591,0.5826
2014-10-01,35.7722,0.5935
2014-11-01,30.9405,0.5585
2014-12-01,27.9505,0.5134
2015-01-01,25.6427,0.4475
2015-02-01,24.2437,0.3771
2015-03-01,23.4331,0.3482
2015-04-01,26.855,0.3942
2015-05-01,27.6555,0.4416
2015-06-01,27.2059,0.462
2015-07-01,28.9178,0.5192
2015-08-01,33.9408,0.5911
2015-09-01,32.6068,0.6006
2015-10-01,31.6771,0.5596
2015-11-01,29.2644,0.5087
2015-12-01,26.11,0.485
2016-01-01,24.5709,0.4426
2016-02-01,23.845,0.4421
2016-03-01,24.4318,0.4163
2016-04-01,27.9601,0.462
2016-05-01,34.7747,0.552
2016-06-01,31.7455,0.5246
2016-07-01,34.4383,0.4541
2016-08-01,34.7138,0.5599
2016-09-01,31.8201,0.5816
2016-10-01,30.8663,0.5916
2016-11-01,28.6921,0.5929
