DT,SM,NDVI
1/1/03,23.6361,0.502
2/1/03,22.106,0.4783
3/1/03,21.9428,0.4199
4/1/03,25.361,0.4668
5/1/03,28.1846,0.509
6/1/03,26.2115,0.492
7/1/03,28.7906,0.4441
8/1/03,32.9066,0.5343
9/1/03,34.649,0.5758
10/1/03,31.3925,0.5819
11/1/03,25.8246,0.5434
12/1/03,25.0899,0.4889
1/1/04,23.6999,0.4615
2/1/04,23.8132,0.4738
3/1/04,22.1069,0.4454
4/1/04,26.1228,0.5186
5/1/04,26.007,0.5337
6/1/04,24.0715,0.4231
7/1/04,25.6768,0.4382
8/1/04,30.0567,0.5185
9/1/04,31.2873,0.5562
10/1/04,30.3619,0.6121
11/1/04,25.7662,0.5738
12/1/04,23.6405,0.4863
1/1/05,22.405,0.4557
2/1/05,21.837,0.4377
3/1/05,24.0134,0.463
4/1/05,24.5264,0.4683
5/1/05,33.168,0.5268
6/1/05,30.4587,0.5428
7/1/05,32.3119,0.4612
8/1/05,34.4402,0.5488
9/1/05,33.8302,0.5964
10/1/05,31.4622,0.6009
11/1/05,28.4723,0.5551
12/1/05,25.0321,0.4992
1/1/06,22.9347,0.4222
2/1/06,21.9928,0.3898
3/1/06,22.8808,0.4186
4/1/06,28.8403,0.5081
5/1/06,30.4082,0.5198
6/1/06,28.6398,0.5081
7/1/06,32.0788,0.4748
8/1/06,34.7665,0.4942
9/1/06,35.4025,0.5524
10/1/06,34.1981,0.5415
11/1/06,31.8067,0.5264
12/1/06,28.7669,0.515
1/1/07,26.2855,0.4877
2/1/07,26.3143,0.4786
3/1/07,24.804,0.4643
4/1/07,27.1157,0.4699
5/1/07,27.4018,0.4831
6/1/07,30.563,0.4811
7/1/07,32.0512,0.4826
8/1/07,36.5843,0.4996
9/1/07,38.9324,0.5731
10/1/07,36.2836,0.5978
11/1/07,30.5881,0.5778
12/1/07,26.5283,0.496
1/1/08,24.605,0.4134
2/1/08,23.3004,0.3771
3/1/08,21.3869,0.3437
4/1/08,22.1519,0.3209
5/1/08,25.349,0.394
6/1/08,27.7599,0.4563
7/1/08,31.1847,0.4773
8/1/08,35.0306,0.5416
9/1/08,35.5514,0.5979
10/1/08,33.5482,0.5977
11/1/08,34.8485,0.6041
12/1/08,29.8376,0.5661
1/1/09,27.5353,0.4532
2/1/09,26.777,0.4463
3/1/09,24.0904,0.4307
4/1/09,27.2102,0.4616
5/1/09,25.8084,0.4803
6/1/09,23.8926,0.4765
7/1/09,25.6614,0.4123
8/1/09,28.667,0.5341
9/1/09,29.2985,0.599
10/1/09,29.4073,0.6112
11/1/09,26.2243,0.5862
12/1/09,25.6671,0.4715
1/1/10,25.1045,0.4881
2/1/10,25.1345,0.4776
3/1/10,27.6229,0.5411
4/1/10,30.9331,0.549
5/1/10,34.1619,0.5366
6/1/10,33.6809,0.5387
7/1/10,33.3778,0.498
8/1/10,36.4557,0.4829
9/1/10,37.9833,0.5699
10/1/10,34.1544,0.59
11/1/10,29.1568,0.5628
12/1/10,25.5965,0.4976
1/1/11,24.3266,0.4505
2/1/11,23.0892,0.4181
3/1/11,22.7686,0.3909
4/1/11,21.0176,0.3926
5/1/11,26.2458,0.4218
6/1/11,29.3185,0.478
7/1/11,31.5934,0.5069
8/1/11,35.2144,0.5354
9/1/11,36.8812,0.606
10/1/11,33.1588,0.6168
11/1/11,30.5558,0.546
12/1/11,27.2037,0.513
1/1/12,24.6533,0.4331
2/1/12,23.0005,0.363
3/1/12,21.5813,0.3382
4/1/12,26.1512,0.428
5/1/12,27.7745,0.4958
6/1/12,25.2795,0.4799
7/1/12,28.581,0.4993
8/1/12,32.6002,0.5481
9/1/12,35.9497,0.5842
10/1/12,32.5021,0.6109
11/1/12,29.7249,0.5632
12/1/12,26.096,0.4937
1/1/13,24.4732,0.4403
2/1/13,23.2188,0.3926
3/1/13,22.6899,0.3736
4/1/13,28.2997,0.4782
5/1/13,30.5011,0.5004
6/1/13,30.4235,0.4719
7/1/13,33.9889,0.4467
8/1/13,36.9962,0.5449
9/1/13,37.8122,0.5722
10/1/13,35.8996,0.5669
11/1/13,32.2545,0.5732
12/1/13,28.6259,0.5349
1/1/14,26.3205,0.4439
2/1/14,25.7836,0.4278
3/1/14,25.7273,0.453
4/1/14,27.4541,0.4526
5/1/14,28.9372,0.4881
6/1/14,27.9432,0.4952
7/1/14,28.3144,0.4617
8/1/14,31.3956,0.5255
9/1/14,36.1591,0.5826
10/1/14,35.7722,0.5935
11/1/14,30.9405,0.5585
12/1/14,27.9505,0.5134
1/1/15,25.6427,0.4475
2/1/15,24.2437,0.3771
3/1/15,23.4331,0.3482
4/1/15,26.855,0.3942
5/1/15,27.6555,0.4416
6/1/15,27.2059,0.462
7/1/15,28.9178,0.5192
8/1/15,33.9408,0.5911
9/1/15,32.6068,0.6006
10/1/15,31.6771,0.5596
11/1/15,29.2644,0.5087
12/1/15,26.11,0.485
1/1/16,24.5709,0.4426
2/1/16,23.845,0.4421
3/1/16,24.4318,0.4163
4/1/16,27.9601,0.462
5/1/16,34.7747,0.552
6/1/16,31.7455,0.5246
7/1/16,34.4383,0.4541
8/1/16,34.7138,0.5599
9/1/16,31.8201,0.5816
10/1/16,30.8663,0.5916
11/1/16,28.6921,0.5929
12/1/16,27.4102,0.5241
1/1/17,24.6739,0.4381
2/1/17,23.9239,0.3827
3/1/17,23.9199,0.3935
4/1/17,25.4513,0.423
5/1/17,28.2148,0.4809
6/1/17,26.9261,0.49
7/1/17,30.5847,0.4449
8/1/17,33.4385,0.4652
9/1/17,37.3554,0.5382
10/1/17,35.3217,0.5678
11/1/17,33.218,0.5542
12/1/17,28.7005,0.496
1/1/18,26.1239,0.4027
2/1/18,25.5394,0.3565
3/1/18,30.2581,0.4177
4/1/18,34.2474,0.4723
5/1/18,35.0521,0.5157
6/1/18,36.3627,0.4846
7/1/18,37.2586,0.471
8/1/18,36.3254,0.5517
9/1/18,36.8663,0.5982
10/1/18,33.9347,0.5818
11/1/18,31.8996,0.515
12/1/18,28.6048,0.5141
1/1/19,25.8709,0.4534
2/1/19,24.3318,0.3743
3/1/19,23.6407,0.3744
